key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.0601,space,2.219,space,18.8671,space,14.7368,space,8.9018,space,3.6,52,PF,-25.33331501,-68.66667944,1,0,0,response5disk_5,3,5.5736,1.333393137,-2.000010788,1,0,0,rectangle_8,1.333393137,-2.000010788,1,0,0,1.333393137,-2.000010788,1,0,0,0,0,0,4,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,-48.66660835,-62.66667926,1,0,0,response5disk_5,3,7.7667,-5.999981105,-2.666677475,1,0,0,rectangle_8,87.33335501,41.33330349,1,0,0,-11.99998128,-1.333344102,1,0,0,0,1,1,1,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6507,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,FF,57.33335412,-78.66667974,1,0,0,response3disk_5,4,11.3151,-19.33331484,4.666656077,1,0,0,rectangle_8,-19.33331484,4.666656077,1,0,0,-19.33331484,4.666656077,1,0,0,0,2,2,3,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,67.33335441,28.66665679,1,0,0,response1disk_5,6,2.9001,-5.999981105,-5.333344221,1,0,0,rectangle_8,-5.999981105,-5.333344221,1,0,0,-5.999981105,-5.333344221,1,0,0,0,3,3,0,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,-93.33331704,-34.66667843,1,0,0,response5disk_5,2,3.6331,8.000019312,-5.333344221,1,0,0,rectangle_8,96.66668862,56.66665763,1,0,0,19.33339367,-2.666677475,1,0,0,0,4,4,2,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.2694,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,PF,-63.99998283,50.66665745,1,0,0,response7disk_5,1,4.3163,-6.666607102,-1.333344102,1,0,0,rectangle_8,-6.666607102,-1.333344102,1,0,0,-6.666607102,-1.333344102,1,0,0,0,5,5,6,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,28.00001991,-46.0000121,1,0,0,response3disk_5,4,4.2531,-5.999981105,-2.666677475,1,0,0,rectangle_8,-5.999981105,-2.666677475,1,0,0,-5.999981105,-2.666677475,1,0,0,0,6,6,5,1,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.4511,,,,,,,,,,,,,,,,,,,,,,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,45.4208,3419,60.00002086,-103.3333471,1,0,0,response3disk,,4,-9.333314538,-8.000010967,1,0,0,rectangle,-9.333314538,-8.000010967,1,0,0,-9.333314538,-8.000010967,1,0,0,0,0,0,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2015,,,,,,,,,,,,,,,,,,,,,,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2170,-33.33331525,-103.3333471,1,0,0,response5disk,,3,14.00001949,-11.3333444,1,0,0,rectangle,14.00001949,-11.3333444,1,0,0,14.00001949,-11.3333444,1,0,0,0,1,1,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7503,,,,,,,,,,,,,,,,,,,,,,610338f9b119ef8991fe47c4,61036938f96a0725144837d6,2021-07-29_20h52.42.326,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,218,67.33335441,47.33330367,1,0,0,response1disk,,6,16.00001955,-13.33334446,1,0,0,rectangle,16.00001955,-13.33334446,1,0,0,16.00001955,-13.33334446,1,0,0,0,2,2,107,1,,,,,,,,
