key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.0641,space,15.892,space,22.6231,space,8.2283,space,1.8973,space,3.7674,111,PF,45.5,80,1,0,0,response1disk_5,7,5.9959,-9.5,8.5,1,0,0,rectangle_8,-9.5,8.5,1,0,0,-9.5,8.5,1,0,0,0,0,0,2,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,-26,-63.5,1,0,0,response5disk_5,3,2.8424,5.5,2,1,0,0,rectangle_8,-71.5,-39.5,1,0,0,13.5,4,1,0,0,0,1,1,5,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.2177,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,PF,89,-35.5,1,0,0,response3disk_5,5,5.7312,-13,-2,1,0,0,rectangle_8,-13,-2,1,0,0,-13,-2,1,0,0,0,2,2,6,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,FF,20,65,1,0,0,response1disk_5,7,1.7652,1,-8.5,1,0,0,rectangle_8,1,-8.5,1,0,0,1,-8.5,1,0,0,0,3,3,3,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,PF,27.5,85.5,1,0,0,response1disk_5,7,0.966,-2,-3,1,0,0,rectangle_8,-74,-40,1,0,0,5,8.5,1,0,0,0,4,4,1,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.3088,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,-81.5,43.5,1,0,0,response7disk_5,1,1.2826,-10,-0.5,1,0,0,rectangle_8,-10,-0.5,1,0,0,-10,-0.5,1,0,0,0,5,5,4,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,FF,84.5,-56.5,1,0,0,response3disk_5,5,2.0494,-12,3.5,1,0,0,rectangle_8,-12,3.5,1,0,0,-12,3.5,1,0,0,0,6,6,0,1,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5639,,,,,,,,,,,,,,,,,,,,,,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7042,2472,27.5,-82,1,0,0,response3disk,,4,8,9.5,1,0,0,rectangle,-25.5,90.5,1,0,0,response7disk_3,TRUE,0,0,"[1,133,196,9,237,220,289,221,32,145,169,213,180,175,64,60,272,293,245,168]",2.1975,-7.5,4,1,0,0,rectangle,0,0,0,55,1,
,,,,,,,,,,,,,FF,,,,,,,,1.178,,,,,,,,,,,,,,,,,,,,,,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1720,42,64.5,1,0,0,response1disk,,7,0,2.5,1,0,0,rectangle,0,2.5,1,0,0,,,,,,,0,2.5,1,0,0,,0,1,1,49,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5008,,,,,,,,,,,,,,,,,,,,,,61033994adbe0652d3c39b71,6103688e1e1a3fc0e8201608,2021-07-29_21h51.25.400,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1795,34.5,90.5,1,0,0,response1disk,,7,-5,-1,1,0,0,rectangle,-5,-1,1,0,0,,,,,,,-5,-1,1,0,0,,0,2,2,95,1,
