key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.119,space,8.4137,space,6.0852,space,2.9316,space,1.4835,space,11.3839,37,PF,54.01074219,-91.06396484,1,0,0,response3disk_5,4,5.4679,2.206970215,-2.584472656,1,0,0,rectangle_8,2.206970215,-2.584472656,1,0,0,2.206970215,-2.584472656,1,0,0,0,0,0,6,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,FF,-66.95758057,-34.73590088,1,0,0,response5disk_5,2,4.0331,-9.683410645,-3.334289551,1,0,0,rectangle_8,43.29638672,-87.45391846,1,0,0,9.175598145,-5.014770508,1,0,0,0,1,1,3,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.1345,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,FF,41.32788086,66.18780518,1,0,0,response1disk_5,7,7.9156,-3.119445801,0.213775635,1,0,0,rectangle_8,-3.119445801,0.213775635,1,0,0,-3.119445801,0.213775635,1,0,0,0,2,2,5,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,PF,62.79156494,-41.39868164,1,0,0,response3disk_5,5,1.467,17.7769165,-6.162475586,1,0,0,rectangle_8,17.7769165,-6.162475586,1,0,0,17.7769165,-6.162475586,1,0,0,0,3,3,2,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,-50.60162354,-27.90478516,1,0,0,response5disk_5,2,2.0492,-7.800720215,-10.23526001,1,0,0,rectangle_8,39.70080566,-103.8734741,1,0,0,10.17816162,2.349243164,1,0,0,0,4,4,4,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.233,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,FF,-65.71746826,33.14355469,1,0,0,response7disk_5,1,1.7337,-12.53210449,-5.046081543,1,0,0,rectangle_8,-12.53210449,-5.046081543,1,0,0,-12.53210449,-5.046081543,1,0,0,0,5,5,0,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,PF,-32.6149292,79.70489502,1,0,0,response7disk_5,0,1.0343,6.160644531,-5.790405273,1,0,0,rectangle_8,6.160644531,-5.790405273,1,0,0,6.160644531,-5.790405273,1,0,0,0,6,6,1,1,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8161,,,,,,,,,,,,,,,,,,,,,,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5285,1152,43.43389893,-86.96911621,1,0,0,response3disk,,4,-3.332641602,-2.902557373,1,0,0,rectangle,84.25109863,20.84375,1,0,0,response1disk_3,TRUE,6,6,"[95,184,237,93,126,293,120,65,213,112,195,81,294,235,1,251,115,246,57,169]",1.9011,10.02581787,-8.959533691,1,0,0,rectangle,0,0,0,32,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1836,,,,,,,,,,,,,,,,,,,,,,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3680,-64.46826172,-25.60144043,1,0,0,response5disk,,2,-18.32574463,-4.968505859,1,0,0,rectangle,-18.32574463,-4.968505859,1,0,0,,,,,,,-18.32574463,-4.968505859,1,0,0,,0,1,1,135,1,
,,,,,,,,,,,,,FF,,,,,,,,2.1327,,,,,,,,,,,,,,,,,,,,,,61033da02b2a5bf215b3dc11,61036e47404f7c59f50f2f07,2021-07-29_23h13.42.308,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2699,73.95495605,40.92144775,1,0,0,response1disk,,6,24.00640869,5.742523193,1,0,0,rectangle,24.00640869,5.742523193,1,0,0,,,,,,,24.00640869,5.742523193,1,0,0,,0,2,2,75,1,
