key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0414,space,12.5331,space,22.6234,space,4.1057,space,1.8505,space,2.6359,85,PF,100.5,48.5,1,0,0,response1disk_5,6,8.622,-1,1.5,1,0,0,rectangle_8,-1,1.5,1,0,0,-1,1.5,1,0,0,0,0,0,2,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,100,-72,1,0,0,response3disk_5,5,1.9673,8.5,5.5,1,0,0,rectangle_8,-82,27.5,1,0,0,15,-7,1,0,0,0,1,1,6,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.1185,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,FF,-78.5,-45.5,1,0,0,response5disk_5,2,2.2338,9.5,14,1,0,0,rectangle_8,9.5,14,1,0,0,9.5,14,1,0,0,0,2,2,0,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,-55,-94,1,0,0,response5disk_5,3,1.1669,7,-8,1,0,0,rectangle_8,7,-8,1,0,0,7,-8,1,0,0,0,3,3,4,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,69,118,1,0,0,response1disk_5,7,0.8128,-10,8,1,0,0,rectangle_8,-75.5,47,1,0,0,-0.5,4,1,0,0,0,4,4,1,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.5058,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,FF,-52.5,-112.5,1,0,0,response5disk_5,3,1.1165,-0.5,-4,1,0,0,rectangle_8,-0.5,-4,1,0,0,-0.5,-4,1,0,0,0,5,5,3,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,FF,61,-86.5,1,0,0,response3disk_5,4,1.1507,3,-2,1,0,0,rectangle_8,3,-2,1,0,0,3,-2,1,0,0,0,6,6,5,1,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2016,,,,,,,,,,,,,,,,,,,,,,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8097,1499,56.5,104.5,1,0,0,response1disk,,7,1,-7.5,1,0,0,rectangle,1,-7.5,1,0,0,1,-7.5,1,0,0,0,0,0,110,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4005,,,,,,,,,,,,,,,,,,,,,,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,157,81,-55,1,0,0,response3disk,,5,-21.5,3,1,0,0,rectangle,-21.5,3,1,0,0,-21.5,3,1,0,0,0,1,1,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.918,,,,,,,,,,,,,,,,,,,,,,61034258c96850cb404c52d2,61036a2d404f7c59f50f2edb,2021-07-29_20h57.09.842,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3831,98.5,-47,1,0,0,response3disk,,5,-28,7.5,1,0,0,rectangle,-28,7.5,1,0,0,-28,7.5,1,0,0,0,2,2,133,1,,,,,,,,
