key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.3981,space,14.1724,space,22.3279,space,4.6831,space,1.8196,space,4.19,80,FF,73,-185,1,0,0,response3disk_5,4,10.5557,9,7,1,0,0,rectangle_8,9,7,1,0,0,9,7,1,0,0,0,0,0,5,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,93,156,1,0,0,response1disk_5,7,5.3895,8,0,1,0,0,rectangle_8,71,153,1,0,0,-2,-10,1,0,0,0,1,1,6,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.8817,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,50,-162,1,0,0,response3disk_5,4,4.3302,11,-11,1,0,0,rectangle_8,11,-11,1,0,0,11,-11,1,0,0,0,2,2,1,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,117,76,1,0,0,response1disk_5,6,1.2501,13,-2,1,0,0,rectangle_8,13,-2,1,0,0,13,-2,1,0,0,0,3,3,2,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,FF,65,-165,1,0,0,response3disk_5,4,4.7568,-3,-8,1,0,0,rectangle_8,65,105,1,0,0,17,-1,1,0,0,0,4,4,3,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.986,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,PF,119,-63,1,0,0,response3disk_5,5,2.479,17,-3,1,0,0,rectangle_8,17,-3,1,0,0,17,-3,1,0,0,0,5,5,4,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,56,-159,1,0,0,response3disk_5,4,1.91,8,1,1,0,0,rectangle_8,8,1,1,0,0,8,1,1,0,0,0,6,6,0,1,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.4379,,,,,,,,,,,,,,,,,,,,,,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.7429,3410,71,-154,1,0,0,response3disk,,4,-13,3,1,0,0,rectangle,-13,3,1,0,0,-13,3,1,0,0,0,0,0,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0556,,,,,,,,,,,,,,,,,,,,,,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1543,-62,-151,1,0,0,response5disk,,3,-3,4,1,0,0,rectangle,-3,4,1,0,0,-3,4,1,0,0,0,1,1,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0765,,,,,,,,,,,,,,,,,,,,,,610342791f17a52c9fd5ea36,61036b8664e6c768e90c335e,2021-07-29_22h01.59.093,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3359,121,-56,1,0,0,response3disk,,5,24,-1,1,0,0,rectangle,24,-1,1,0,0,24,-1,1,0,0,0,2,2,96,1,,,,,,,,
