key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.1501,space,9.6655,space,10.2289,space,3.6911,space,2.1777,space,5.9241,80,PF,-57,106,1,0,0,response7disk_5,0,8.7185,-11,-1,1,0,0,rectangle_8,-11,-1,1,0,0,-11,-1,1,0,0,0,0,0,1,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,-111,57,1,0,0,response7disk_5,1,0.7001,-25,1,1,0,0,rectangle_8,134,67,1,0,0,-2,-1,1,0,0,0,1,1,5,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6333,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,PF,-50,123,1,0,0,response7disk_5,0,2.5165,3,0,1,0,0,rectangle_8,3,0,1,0,0,3,0,1,0,0,0,2,2,2,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,PF,121,58,1,0,0,response1disk_5,6,6.4334,-20,-1,1,0,0,rectangle_8,-20,-1,1,0,0,-20,-1,1,0,0,0,3,3,4,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,FF,53,-149,1,0,0,response3disk_5,4,2.7,23,-8,1,0,0,rectangle_8,140,51,1,0,0,28,-3,1,0,0,0,4,4,0,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.8831,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,109,-68,1,0,0,response3disk_5,5,3.2502,11,-7,1,0,0,rectangle_8,11,-7,1,0,0,11,-7,1,0,0,0,5,5,6,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,FF,43,85,1,0,0,response1disk_5,7,3.7166,-23,0,1,0,0,rectangle_8,-23,0,1,0,0,-23,0,1,0,0,0,6,6,3,1,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.1147,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,6.7079,1283,-37,-128,1,0,0,response5disk,,3,7,-4,1,0,0,rectangle,-50,-140,1,0,0,response5disk_3,TRUE,3,3,"[21,143,102,192,50,282,269,79,96,1,236,210,265,308,96,270,149,173,264,321]",1.7839,-10,8,1,0,0,rectangle,0,0,0,48,1,
,,,,,,,,,,,,,FF,,,,,,,,2.7528,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2921,36,-134,1,0,0,response3disk,,4,8,10,1,0,0,rectangle,8,10,1,0,0,,,,,,,8,10,1,0,0,,0,1,1,109,1,
,,,,,,,,,,,,,FF,,,,,,,,1.286,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,103,62,-114,1,0,0,response3disk,,4,16,-7,1,0,0,rectangle,16,-7,1,0,0,,,,,,,16,-7,1,0,0,,0,2,2,58,1,
,,,,,,,,,,,,,FF,,,,,,,,1.9667,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3088,120,46,1,0,0,response1disk,,6,26,-9,1,0,0,rectangle,26,-9,1,0,0,,,,,,,26,-9,1,0,0,,0,3,3,49,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4752,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,767,57,123,1,0,0,response1disk,,7,19,12,1,0,0,rectangle,19,12,1,0,0,,,,,,,19,12,1,0,0,,0,4,4,43,1,
,,,,,,,,,,,,,FF,,,,,,,,3.1335,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,738,107,-62,1,0,0,response3disk,,5,-14,6,1,0,0,rectangle,-14,6,1,0,0,,,,,,,-14,6,1,0,0,,0,5,5,35,1,
,,,,,,,,,,,,,FF,,,,,,,,0.6528,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2185,58,114,1,0,0,response1disk,,7,29,9,1,0,0,rectangle,29,9,1,0,0,,,,,,,29,9,1,0,0,,0,6,6,85,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7026,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3828,27,114,1,0,0,response1disk,,7,7,8,1,0,0,rectangle,7,8,1,0,0,,,,,,,7,8,1,0,0,,0,7,7,110,1,
,,,,,,,,,,,,,FF,,,,,,,,0.492,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1924,50,122,1,0,0,response1disk,,7,8,-10,1,0,0,rectangle,8,-10,1,0,0,,,,,,,8,-10,1,0,0,,0,8,8,98,1,
,,,,,,,,,,,,,FF,,,,,,,,4.0167,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3069,96,48,1,0,0,response1disk,,6,8,-2,1,0,0,rectangle,8,-2,1,0,0,,,,,,,8,-2,1,0,0,,0,9,9,77,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6667,,,,,,,,,,,,,,,,,,,,,,610343e098c067d744ec212a,610364dc21124460e8fb2130,2021-07-29_19h33.29.442,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,494,125,-66,1,0,0,response3disk,,5,16,5,1,0,0,rectangle,16,5,1,0,0,,,,,,,16,5,1,0,0,,0,10,10,120,1,
