key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.3797,space,17.9765,space,12.9253,space,9.4464,space,2.0293,space,9.174,2,PF,127,49,1,0,0,response1disk_5,6,12.3511,5,10,1,0,0,rectangle_8,5,10,1,0,0,5,10,1,0,0,0,0,0,2,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,FF,115,131,1,0,0,response1disk_5,7,2.1855,2,-5,1,0,0,rectangle_8,93,-55,1,0,0,-10,9,1,0,0,0,1,1,5,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.7034,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,FF,-78,-56,1,0,0,response5disk_5,2,4.2702,30,4,1,0,0,rectangle_8,30,4,1,0,0,30,4,1,0,0,0,2,2,0,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,PF,38,123,1,0,0,response1disk_5,7,1.8184,-5,-10,1,0,0,rectangle_8,-5,-10,1,0,0,-5,-10,1,0,0,0,3,3,6,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,-72,-62,1,0,0,response5disk_5,2,2.5521,-6,8,1,0,0,rectangle_8,88,-40,1,0,0,18,-15,1,0,0,0,4,4,1,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.8518,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,PF,123,-63,1,0,0,response3disk_5,5,3.9696,11,7,1,0,0,rectangle_8,11,7,1,0,0,11,7,1,0,0,0,5,5,4,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,145,50,1,0,0,response1disk_5,6,2.5687,16,5,1,0,0,rectangle_8,16,5,1,0,0,16,5,1,0,0,0,6,6,3,1,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6376,,,,,,,,,,,,,,,,,,,,,,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9268,1585,40,-86,1,0,0,response3disk,,4,14,0,1,0,0,rectangle,14,0,1,0,0,14,0,1,0,0,0,0,0,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4178,,,,,,,,,,,,,,,,,,,,,,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,285,-57,-100,1,0,0,response5disk,,3,-5,10,1,0,0,rectangle,-5,10,1,0,0,-5,10,1,0,0,0,1,1,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7372,,,,,,,,,,,,,,,,,,,,,,610344869928e5cbcc7ebf23,610370897388e7c156ebdc44,2021-07-30_00h27.22.532,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3933,49,-95,1,0,0,response3disk,,4,27,2,1,0,0,rectangle,27,2,1,0,0,27,2,1,0,0,0,2,2,32,1,,,,,,,,
