key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.018,space,5.198,space,28.975,space,12.311,space,0.255,space,2.094,122,FF,-45,101,1,0,0,response7disk_5,0,13.868,2,-1,1,0,0,rectangle_8,2,-1,1,0,0,2,-1,1,0,0,0,0,0,0,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,FF,-41,85,1,0,0,response7disk_5,0,6.133,-3,-11,1,0,0,rectangle_8,106,50,1,0,0,-6,3,1,0,0,0,1,1,5,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.917,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,FF,63,94,1,0,0,response1disk_5,7,6.815,-4,2,1,0,0,rectangle_8,-4,2,1,0,0,-4,2,1,0,0,0,2,2,3,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,51,114,1,0,0,response1disk_5,7,1.265,-5,-6,1,0,0,rectangle_8,-5,-6,1,0,0,-5,-6,1,0,0,0,3,3,6,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,PF,31,84,1,0,0,response1disk_5,7,1.1,3,3,1,0,0,rectangle_8,96,51,1,0,0,19,-9,1,0,0,0,4,4,4,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.217,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,PF,52,-81,1,0,0,response3disk_5,4,2.267,-6,9,1,0,0,rectangle_8,-6,9,1,0,0,-6,9,1,0,0,0,5,5,1,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,48,-87,1,0,0,response3disk_5,4,1.499,12,-5,1,0,0,rectangle_8,12,-5,1,0,0,12,-5,1,0,0,0,6,6,2,1,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.733,,,,,,,,,,,,,,,,,,,,,,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.616,3095,45,101,1,0,0,response1disk,,7,-8,-4,1,0,0,rectangle,-8,-4,1,0,0,-8,-4,1,0,0,0,0,0,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.851,,,,,,,,,,,,,,,,,,,,,,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1160,87,23,1,0,0,response1disk,,6,23,-1,1,0,0,rectangle,23,-1,1,0,0,23,-1,1,0,0,0,1,1,36,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.415,,,,,,,,,,,,,,,,,,,,,,6103494acb49b118fdcf2db5,61036bba84ad83fd30723a57,2021-07-29_22h04.04.080,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1376,34,-76,1,0,0,response3disk,,4,12,-9,1,0,0,rectangle,12,-9,1,0,0,12,-9,1,0,0,0,2,2,83,1,,,,,,,,
