key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.26,space,1.843,space,9.446,space,6.295,space,0.794,space,3.094,18,PF,26,70,1,0,0,response1disk_5,7,13.301,0,-1,1,0,0,rectangle_8,0,-1,1,0,0,0,-1,1,0,0,0,0,0,4,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,FF,-37,-69,1,0,0,response5disk_5,3,3.601,-3,10,1,0,0,rectangle_8,-26,80,1,0,0,-2,-3,1,0,0,0,1,1,3,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.8,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,PF,34,73,1,0,0,response1disk_5,7,3.383,1,-5,1,0,0,rectangle_8,1,-5,1,0,0,1,-5,1,0,0,0,2,2,2,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,FF,34,-59,1,0,0,response3disk_5,4,2.334,-1,0,1,0,0,rectangle_8,-1,0,1,0,0,-1,0,1,0,0,0,3,3,5,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,PF,55,23,1,0,0,response1disk_5,6,4.068,-2,6,1,0,0,rectangle_8,-34,72,1,0,0,-3,-4,1,0,0,0,4,4,1,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.549,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,FF,41,-71,1,0,0,response3disk_5,4,2.733,2,-3,1,0,0,rectangle_8,2,-3,1,0,0,2,-3,1,0,0,0,5,5,0,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,35,-64,1,0,0,response3disk_5,4,1.916,-3,2,1,0,0,rectangle_8,-3,2,1,0,0,-3,2,1,0,0,0,6,6,6,1,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.399,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.553,3744,-68,32,1,0,0,response7disk,,1,-2,-9,1,0,0,rectangle,-2,-9,1,0,0,-2,-9,1,0,0,0,0,0,117,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.317,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1033,-40,-61,1,0,0,response5disk,,3,-6,-2,1,0,0,rectangle,-6,-2,1,0,0,-6,-2,1,0,0,0,1,1,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.234,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3899,-19,-50,1,0,0,response5disk,,3,2,5,1,0,0,rectangle,2,5,1,0,0,2,5,1,0,0,0,2,2,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.767,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,993,58,26,1,0,0,response1disk,,6,13,1,1,0,0,rectangle,13,1,1,0,0,13,1,1,0,0,0,3,3,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.848,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2324,32,69,1,0,0,response1disk,,7,15,7,1,0,0,rectangle,15,7,1,0,0,15,7,1,0,0,0,4,4,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.349,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1832,-45,-70,1,0,0,response5disk,,3,-7,2,1,0,0,rectangle,-7,2,1,0,0,-7,2,1,0,0,0,5,5,88,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.949,,,,,,,,,,,,,,,,,,,,,,61034f3092f51520b90743d6,6103660c8f4a128797b1bdd3,2021-07-29_19h42.42.936,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,82,-53,-36,1,0,0,response5disk,,2,-6,1,1,0,0,rectangle,-6,1,1,0,0,-6,1,1,0,0,0,6,6,98,1,,,,,,,,
