key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,2.2362,space,43.6023,space,46.5505,space,15.3983,space,8.7328,space,5.6817,76,PF,-37.7890625,76.72265625,1,0,0,response7disk_5,0,13.9912,6.85546875,-4.28515625,1,0,0,rectangle_8,6.85546875,-4.28515625,1,0,0,6.85546875,-4.28515625,1,0,0,0,0,0,4,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,46.71875,73.4140625,1,0,0,response1disk_5,7,10.7825,11.52734375,-4.6796875,1,0,0,rectangle_8,89.88671875,-42.078125,1,0,0,15.58203125,-1.25390625,1,0,0,0,1,1,6,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.6017,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,41.09375,90.1484375,1,0,0,response1disk_5,7,4.8555,6.625,-2.98828125,1,0,0,rectangle_8,6.625,-2.98828125,1,0,0,6.625,-2.98828125,1,0,0,0,2,2,1,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,FF,45.4375,84.09765625,1,0,0,response1disk_5,7,11.4783,-6.00390625,-1.73828125,1,0,0,rectangle_8,-6.00390625,-1.73828125,1,0,0,-6.00390625,-1.73828125,1,0,0,0,3,3,3,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,41.22265625,77.23046875,1,0,0,response1disk_5,7,3.4492,-0.546875,-2.55859375,1,0,0,rectangle_8,89.44140625,-53.42578125,1,0,0,7.4140625,-1.53515625,1,0,0,0,4,4,5,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.5515,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,50.93359375,91.27734375,1,0,0,response1disk_5,7,2.834,0.3046875,8.1953125,1,0,0,rectangle_8,0.3046875,8.1953125,1,0,0,0.3046875,8.1953125,1,0,0,0,5,5,2,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,60.8203125,72.13671875,1,0,0,response1disk_5,7,1.984,4.00390625,-8.48046875,1,0,0,rectangle_8,4.00390625,-8.48046875,1,0,0,4.00390625,-8.48046875,1,0,0,0,6,6,0,1,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.8166,,,,,,,,,,,,,,,,,,,,,,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6552,2222,56.4765625,100.1679688,1,0,0,response1disk,,7,-7.09765625,-6.23828125,1,0,0,rectangle,104.2890625,41.27734375,1,0,0,response1disk_3,TRUE,6,6,"[14,102,109,76,46,232,209,278,307,69,222,177,43,57,1,7,322,219,253,76]",2.633,6.6953125,-0.296875,1,0,0,rectangle,0,0,0,146,1,
,,,,,,,,,,,,,FF,,,,,,,,4.3308,,,,,,,,,,,,,,,,,,,,,,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3254,96.07421875,-32.890625,1,0,0,response3disk,,5,12.2421875,8.68359375,1,0,0,rectangle,12.2421875,8.68359375,1,0,0,,,,,,,12.2421875,8.68359375,1,0,0,,0,1,1,57,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4475,,,,,,,,,,,,,,,,,,,,,,61034f3b7331bbf477dd2dda,61036ebf7d4c69350054cb4f,2021-07-29_22h16.27.911,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,539,45.77734375,79.93359375,1,0,0,response1disk,,7,-5.10546875,-3.5078125,1,0,0,rectangle,-5.10546875,-3.5078125,1,0,0,,,,,,,-5.10546875,-3.5078125,1,0,0,,0,2,2,119,1,
