key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.6472,space,1.2096,space,16.9703,space,5.1379,space,1.0687,space,3.0343,41,PF,33.00390625,-65.609375,1,0,0,response3disk_5,4,7.5482,3.09765625,-1.45703125,1,0,0,rectangle_8,3.09765625,-1.45703125,1,0,0,3.09765625,-1.45703125,1,0,0,0,0,0,4,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,60.02734375,37.625,1,0,0,response1disk_5,6,3.1668,3.24609375,-9.78125,1,0,0,rectangle_8,-28.13671875,-64.2578125,1,0,0,-3.44140625,-1.77734375,1,0,0,0,1,1,0,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.404,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,-25.08984375,30.2109375,1,0,0,response7disk_5,0,2.4331,0.82421875,0.58203125,1,0,0,rectangle_8,0.82421875,0.58203125,1,0,0,0.82421875,0.58203125,1,0,0,0,2,2,1,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,PF,-18.859375,-67.26953125,1,0,0,response5disk_5,3,1.5847,2.2109375,1.89453125,1,0,0,rectangle_8,2.2109375,1.89453125,1,0,0,2.2109375,1.89453125,1,0,0,0,3,3,6,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,-23.37109375,-62.984375,1,0,0,response5disk_5,3,1.6809,-2.30859375,-4.0390625,1,0,0,rectangle_8,-23.078125,-67.99609375,1,0,0,-3.7734375,4.265625,1,0,0,0,4,4,2,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.3671,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,-61.96484375,12.01953125,1,0,0,response7disk_5,1,1.399,-0.53125,-1.19140625,1,0,0,rectangle_8,-0.53125,-1.19140625,1,0,0,-0.53125,-1.19140625,1,0,0,0,5,5,5,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,FF,38.30078125,-61.01171875,1,0,0,response3disk_5,4,1.7201,12.1953125,-0.515625,1,0,0,rectangle_8,12.1953125,-0.515625,1,0,0,12.1953125,-0.515625,1,0,0,0,6,6,3,1,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3175,,,,,,,,,,,,,,,,,,,,,,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0413,987,55.4921875,20.16796875,1,0,0,response1disk,,6,23.10546875,0.12109375,1,0,0,rectangle,23.10546875,0.12109375,1,0,0,23.10546875,0.12109375,1,0,0,0,0,0,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2823,,,,,,,,,,,,,,,,,,,,,,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3416,-42.30078125,15.3359375,1,0,0,response7disk,,1,1.1796875,-3.93359375,1,0,0,rectangle,1.1796875,-3.93359375,1,0,0,1.1796875,-3.93359375,1,0,0,0,1,1,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0332,,,,,,,,,,,,,,,,,,,,,,6103502ca40f5c646cf623ff,61036985047d57234b058b69,2021-07-29_20h01.40.315,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3705,25.1484375,59.21484375,1,0,0,response1disk,,7,1.1875,-9.24609375,1,0,0,rectangle,1.1875,-9.24609375,1,0,0,1.1875,-9.24609375,1,0,0,0,2,2,64,1,,,,,,,,
