key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4029,space,14.4989,space,52.4542,space,8.9003,space,1.2387,space,4.2302,67,FF,40.4296875,-86.9921875,1,0,0,response3disk_5,4,8.8223,-6.7421875,7.21875,1,0,0,rectangle_8,-6.7421875,7.21875,1,0,0,-6.7421875,7.21875,1,0,0,0,0,0,0,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,PF,98.02734375,50.5546875,1,0,0,response1disk_5,6,6.5362,-8.47265625,-0.8046875,1,0,0,rectangle_8,99.1328125,-53.92578125,1,0,0,4.28125,-3.87890625,1,0,0,0,1,1,4,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.5205,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,PF,92.625,43.97265625,1,0,0,response1disk_5,6,4.1669,-10.01171875,-0.65625,1,0,0,rectangle_8,-10.01171875,-0.65625,1,0,0,-10.01171875,-0.65625,1,0,0,0,2,2,1,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,42.953125,-75.625,1,0,0,response3disk_5,4,4.2006,-12.74609375,0.15625,1,0,0,rectangle_8,-12.74609375,0.15625,1,0,0,-12.74609375,0.15625,1,0,0,0,3,3,2,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,-55.17578125,84.09375,1,0,0,response7disk_5,0,3.7501,-12.16015625,1.59765625,1,0,0,rectangle_8,73.80078125,-47.06640625,1,0,0,-1.26171875,0.4765625,1,0,0,0,4,4,6,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.8503,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,42.0859375,-87.26171875,1,0,0,response3disk_5,4,2.7831,-5.265625,2.97265625,1,0,0,rectangle_8,-5.265625,2.97265625,1,0,0,-5.265625,2.97265625,1,0,0,0,5,5,5,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,FF,33.26953125,108.6054688,1,0,0,response1disk_5,7,1.7981,-0.2890625,-11.30859375,1,0,0,rectangle_8,-0.2890625,-11.30859375,1,0,0,-0.2890625,-11.30859375,1,0,0,0,6,6,3,1,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6316,,,,,,,,,,,,,,,,,,,,,,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9098,4019,100.7460938,52.21484375,1,0,0,response1disk,,6,8.59765625,-5.67578125,1,0,0,rectangle,8.59765625,-5.67578125,1,0,0,8.59765625,-5.67578125,1,0,0,0,0,0,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0174,,,,,,,,,,,,,,,,,,,,,,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,331,103.7539063,46.63671875,1,0,0,response1disk,,6,2.33203125,-1.59375,1,0,0,rectangle,2.33203125,-1.59375,1,0,0,2.33203125,-1.59375,1,0,0,0,1,1,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7022,,,,,,,,,,,,,,,,,,,,,,6103547238747506ef02bb29,6103651687d0f99e9bf17124,2021-07-29_19h34.46.958,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3977,52.60546875,-79.28515625,1,0,0,response3disk,,4,7.83984375,11.921875,1,0,0,rectangle,-84.6484375,49.44140625,1,0,0,-1.2421875,0.625,1,0,0,0,2,2,24,1,,response7disk_3,TRUE,1,1,"[131,289,175,179,289,267,180,80,236,171,25,95,85,3,156,300,26,117,178,215]",2.3515,rectangle
