key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4801,space,14.5061,space,10.3094,space,9.1169,space,1.4967,space,4.3319,18,PF,-41.75146484,-85.54251099,1,0,0,response5disk_5,3,5.0051,-7.581726074,-3.228820801,1,0,0,rectangle_8,-7.581726074,-3.228820801,1,0,0,-7.581726074,-3.228820801,1,0,0,0,0,0,1,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,FF,39.11981201,80.67541504,1,0,0,response1disk_5,7,4.5848,7.539123535,7.049072266,1,0,0,rectangle_8,77.70910645,44.62060547,1,0,0,-6.108642578,-10.25512695,1,0,0,0,1,1,3,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,4.1549,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-27.99346924,-85.31442261,1,0,0,response5disk_5,3,3.7045,-7.726623535,2.873138428,1,0,0,rectangle_8,-7.726623535,2.873138428,1,0,0,-7.726623535,2.873138428,1,0,0,0,2,2,4,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,-49.18389893,-34.2220459,1,0,0,response5disk_5,2,2.101,-6.445129395,-5.278381348,1,0,0,rectangle_8,-6.445129395,-5.278381348,1,0,0,-6.445129395,-5.278381348,1,0,0,0,3,3,2,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,82.652771,19.59979248,1,0,0,response1disk_5,6,4.5358,19.39892578,-1.043273926,1,0,0,rectangle_8,63.88793945,28.79223633,1,0,0,3.158996582,-3.380432129,1,0,0,0,4,4,5,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.4003,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,35.36468506,64.25506592,1,0,0,response1disk_5,7,1.8846,16.89874268,2.197143555,1,0,0,rectangle_8,16.89874268,2.197143555,1,0,0,16.89874268,2.197143555,1,0,0,0,5,5,6,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,FF,74.18804932,-51.76306152,1,0,0,response3disk_5,5,2.1842,15.10046387,-7.191070557,1,0,0,rectangle_8,15.10046387,-7.191070557,1,0,0,15.10046387,-7.191070557,1,0,0,0,6,6,0,1,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9017,,,,,,,,,,,,,,,,,,,,,,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.7695,1542,63.67687988,-31.83587646,1,0,0,response3disk,,5,5.966125488,4.093811035,1,0,0,rectangle,5.966125488,4.093811035,1,0,0,5.966125488,4.093811035,1,0,0,0,0,0,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1424,,,,,,,,,,,,,,,,,,,,,,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2119,69.90863037,32.7822876,1,0,0,response1disk,,6,23.07513428,0.142181396,1,0,0,rectangle,23.07513428,0.142181396,1,0,0,23.07513428,0.142181396,1,0,0,0,1,1,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3334,,,,,,,,,,,,,,,,,,,,,,61035476b946ec7981de1dae,610369fd825c5dfea8a60333,2021-07-29_21h55.23.462,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3919,35.05407715,-67.09072876,1,0,0,response3disk,,4,-0.474487305,-7.441467285,1,0,0,rectangle,-0.474487305,-7.441467285,1,0,0,-0.474487305,-7.441467285,1,0,0,0,2,2,109,1,,,,,,,,
