key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.600975,space,7.060665,space,13.43768,space,1.60445,space,0.806095,space,2.93924,3,PF,87.203125,78.67578125,1,0,0,response1disk_5,6,7.304155,14.80078125,-1.96484375,1,0,0,rectangle_8,14.80078125,-1.96484375,1,0,0,14.80078125,-1.96484375,1,0,0,0,0,0,2,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,PF,110.9257813,43.39453125,1,0,0,response1disk_5,6,1.353495,-3.703125,-7.734375,1,0,0,rectangle_8,95.80859375,37.16796875,1,0,0,4.62890625,-1.640625,1,0,0,0,1,1,1,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.12222,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,54.0625,85.109375,1,0,0,response1disk_5,7,1.655255,5.31640625,1.73828125,1,0,0,rectangle_8,5.31640625,1.73828125,1,0,0,5.31640625,1.73828125,1,0,0,0,2,2,4,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,FF,126.6171875,39.09765625,1,0,0,response1disk_5,6,1.588335,5.40625,1.05859375,1,0,0,rectangle_8,5.40625,1.05859375,1,0,0,5.40625,1.05859375,1,0,0,0,3,3,5,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,FF,89.75,-33.69140625,1,0,0,response3disk_5,5,1.537935,-4.0703125,1.5,1,0,0,rectangle_8,88.70703125,36.30859375,1,0,0,4.0546875,-4.08984375,1,0,0,0,4,4,0,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.492315,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,FF,58.74609375,-71.23828125,1,0,0,response3disk_5,4,4.176415,-0.2578125,1.84765625,1,0,0,rectangle_8,-0.2578125,1.84765625,1,0,0,-0.2578125,1.84765625,1,0,0,0,5,5,3,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,PF,97.1875,-48.875,1,0,0,response3disk_5,5,1.737875,2.78515625,0.69921875,1,0,0,rectangle_8,2.78515625,0.69921875,1,0,0,2.78515625,0.69921875,1,0,0,0,6,6,6,1,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.473825,,,,,,,,,,,,,,,,,,,,,,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.28336,380,-30.9765625,-92,1,0,0,response5disk,,3,3.82421875,-2.5234375,1,0,0,rectangle,3.82421875,-2.5234375,1,0,0,3.82421875,-2.5234375,1,0,0,0,0,0,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.15621,,,,,,,,,,,,,,,,,,,,,,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2010,48.625,102.703125,1,0,0,response1disk,,7,1.62890625,-0.88671875,1,0,0,rectangle,1.62890625,-0.88671875,1,0,0,1.62890625,-0.88671875,1,0,0,0,1,1,34,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.520325,,,,,,,,,,,,,,,,,,,,,,61035646f6f36bf75f71c354,610365e2f412eb22a7feccc9,2021-07-29_20h38.07.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4155,113.90625,35.015625,1,0,0,response1disk,,6,-11.5390625,-10.98046875,1,0,0,rectangle,-11.5390625,-10.98046875,1,0,0,-11.5390625,-10.98046875,1,0,0,0,2,2,128,1,,,,,,,,
