key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.25301,space,11.30784,space,14.45956,space,3.128115,space,0.21679,space,2.612755,3,PF,70.68505859,-56.70349121,1,0,0,response3disk_5,5,30.072905,-6.370788574,2.341644287,1,0,0,rectangle_8,-6.370788574,2.341644287,1,0,0,-6.370788574,2.341644287,1,0,0,0,0,0,1,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,-32.33886719,-69.4602356,1,0,0,response5disk_5,3,7.0424,1.113525391,8.809387207,1,0,0,rectangle_8,94.98852539,36.9503479,1,0,0,-4.710388184,-4.238250732,1,0,0,0,1,1,0,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.015925,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,33.95581055,-64.05813599,1,0,0,response3disk_5,4,5.09879,-6.219299316,-7.968048096,1,0,0,rectangle_8,-6.219299316,-7.968048096,1,0,0,-6.219299316,-7.968048096,1,0,0,0,2,2,3,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,FF,59.57226563,-32.71310425,1,0,0,response3disk_5,5,7.0978,-17.28155518,-3.395172119,1,0,0,rectangle_8,-17.28155518,-3.395172119,1,0,0,-17.28155518,-3.395172119,1,0,0,0,3,3,5,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,72.9508667,43.65246582,1,0,0,response1disk_5,6,1.381875,-7.244995117,4.128448486,1,0,0,rectangle_8,70.70220947,31.43048096,1,0,0,-3.599121094,-4.597900391,1,0,0,0,4,4,6,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.412995,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,38.06225586,76.68545532,1,0,0,response1disk_5,7,1.933175,-10.63885498,-3.101287842,1,0,0,rectangle_8,-10.63885498,-3.101287842,1,0,0,-10.63885498,-3.101287842,1,0,0,0,5,5,2,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,PF,-28.67889404,-70.91275024,1,0,0,response5disk_5,3,2.449355,-5.614501953,-9.371673584,1,0,0,rectangle_8,-5.614501953,-9.371673584,1,0,0,-5.614501953,-9.371673584,1,0,0,0,6,6,4,1,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.093685,,,,,,,,,,,,,,,,,,,,,,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,2.82299,4270,-21.18707275,-61.54446411,1,0,0,response5disk,,3,4.129516602,0.521820068,1,0,0,rectangle,4.129516602,0.521820068,1,0,0,4.129516602,0.521820068,1,0,0,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.06533,,,,,,,,,,,,,,,,,,,,,,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3640,88.1918335,-33.11871338,1,0,0,response3disk,,5,-2.318664551,-1.500823975,1,0,0,rectangle,-2.318664551,-1.500823975,1,0,0,-2.318664551,-1.500823975,1,0,0,0,1,1,105,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.364805,,,,,,,,,,,,,,,,,,,,,,610356bcea0d0f2bbaefce1a,610366f90ab39767522922d3,2021-07-29_21h45.34.317,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3920,33.63293457,-70.23944092,1,0,0,response3disk,,4,-10.98809814,5.99710083,1,0,0,rectangle,-10.98809814,5.99710083,1,0,0,-10.98809814,5.99710083,1,0,0,0,2,2,74,1,,,,,,,,
