key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.1935,space,9.3958,space,9.4167,space,2.8137,space,0.6833,space,3.2357,12,PF,-76.109375,-33.6484375,1,0,0,response5disk_5,2,6.583,-2.7890625,-3.71484375,1,0,0,rectangle_8,-2.7890625,-3.71484375,1,0,0,-2.7890625,-3.71484375,1,0,0,0,0,0,6,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,-77.5859375,-39.30859375,1,0,0,response5disk_5,2,3.4669,-8.0625,-8.18359375,1,0,0,rectangle_8,-71.58203125,-38.89453125,1,0,0,-1.60546875,-3.203125,1,0,0,0,1,1,4,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.1686,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,FF,34.078125,-82.70703125,1,0,0,response3disk_5,4,6.1829,-11.57421875,2.7421875,1,0,0,rectangle_8,-11.57421875,2.7421875,1,0,0,-11.57421875,2.7421875,1,0,0,0,2,2,0,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,FF,-32.19140625,-81.85546875,1,0,0,response5disk_5,3,1.9991,-6.078125,0.35546875,1,0,0,rectangle_8,-6.078125,0.35546875,1,0,0,-6.078125,0.35546875,1,0,0,0,3,3,3,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,68.12890625,43.78515625,1,0,0,response1disk_5,6,2.2661,6.28515625,-11.12109375,1,0,0,rectangle_8,-67.92578125,-46.04296875,1,0,0,10.5078125,-4.05078125,1,0,0,0,4,4,2,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.6676,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,PF,-75.359375,34.1171875,1,0,0,response7disk_5,1,4.5659,-7.83203125,2.734375,1,0,0,rectangle_8,-7.83203125,2.734375,1,0,0,-7.83203125,2.734375,1,0,0,0,5,5,1,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,FF,-53.80078125,73.734375,1,0,0,response7disk_5,0,2.7008,-1.5546875,4.8125,1,0,0,rectangle_8,-1.5546875,4.8125,1,0,0,-1.5546875,4.8125,1,0,0,0,6,6,5,1,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.067,,,,,,,,,,,,,,,,,,,,,,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.3637,4095,-45.71484375,68.83984375,1,0,0,response7disk,,0,0.9765625,1.81640625,1,0,0,rectangle,0.9765625,1.81640625,1,0,0,0.9765625,1.81640625,1,0,0,0,0,0,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8501,,,,,,,,,,,,,,,,,,,,,,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,92,38.89453125,79.30078125,1,0,0,response1disk,,7,-9.8515625,-12.9765625,1,0,0,rectangle,-9.8515625,-12.9765625,1,0,0,-9.8515625,-12.9765625,1,0,0,0,1,1,34,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6664,,,,,,,,,,,,,,,,,,,,,,61035886e691b3a7e313208c,610365e8b4e8cd61018fe0ae,2021-07-29_19h38.23.590,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3837,76.0703125,28.61328125,1,0,0,response1disk,,6,9.8984375,-4.77734375,1,0,0,rectangle,33.29296875,-72.5546875,1,0,0,-14.109375,3.46484375,1,0,0,0,2,2,120,1,,response3disk_3,TRUE,4,4,"[200,209,300,155,277,214,200,230,3,252,316,44,138,288,295,303,262,208,45,124]",2.4676,rectangle
