key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,0.94,space,4.947,space,12.175,space,3.84,space,0.843,space,3.353,134,FF,109,52,1,0,0,response1disk_5,6,8.709,-2,1,1,0,0,rectangle_8,-2,1,1,0,0,-2,1,1,0,0,0,0,0,0,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,97,-48,1,0,0,response3disk_5,5,8.167,-4,-1,1,0,0,rectangle_8,-89,42,1,0,0,-4,5,1,0,0,0,1,1,5,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.835,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,-34,-83,1,0,0,response5disk_5,3,3.55,20,4,1,0,0,rectangle_8,20,4,1,0,0,20,4,1,0,0,0,2,2,1,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,PF,-36,-91,1,0,0,response5disk_5,3,2.154,-3,6,1,0,0,rectangle_8,-3,6,1,0,0,-3,6,1,0,0,0,3,3,4,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,-35,-92,1,0,0,response5disk_5,3,11.715,2,-4,1,0,0,rectangle_8,-101,49,1,0,0,-9,2,1,0,0,0,4,4,2,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.407,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,FF,43,-87,1,0,0,response3disk_5,4,1.905,0,2,1,0,0,rectangle_8,0,2,1,0,0,0,2,1,0,0,0,5,5,3,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,78,-37,1,0,0,response3disk_5,5,3.402,-4,0,1,0,0,rectangle_8,-4,0,1,0,0,-4,0,1,0,0,0,6,6,6,1,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.883,,,,,,,,,,,,,,,,,,,,,,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.757,2178,42,-88,1,0,0,response3disk,,4,-2,6,1,0,0,rectangle,-2,6,1,0,0,-2,6,1,0,0,0,0,0,31,1,
,,,,,,,,,,,,,FF,,,,,,,,1.149,,,,,,,,,,,,,,,,,,,,,,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2310,-48,-99,1,0,0,response5disk,,3,-15,3,1,0,0,rectangle,-15,3,1,0,0,-15,3,1,0,0,0,1,1,90,1,
,,,,,,,,,,,,,FF,,,,,,,,2.635,,,,,,,,,,,,,,,,,,,,,,610359e9133e7d55cfb0d597,610364ec6c6c295405bc4d7b,2021-07-29_21h33.50.828,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3291,-91,-35,1,0,0,response5disk,,2,22,5,1,0,0,rectangle,22,5,1,0,0,22,5,1,0,0,0,2,2,27,1,
