key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.4106,space,13.6688,space,20.0823,space,6.6383,space,1.373,space,2.9921,112,PF,-75.12744141,31.20220947,1,0,0,response7disk_5,1,2.3665,-2.030395508,0.917144775,1,0,0,rectangle_8,-2.030395508,0.917144775,1,0,0,-2.030395508,0.917144775,1,0,0,0,0,0,1,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,-27.77026367,-74.43359375,1,0,0,response5disk_5,3,2.1181,2.114135742,0.295654297,1,0,0,rectangle_8,-74.48950195,-29.95822144,1,0,0,0.771240234,5.509155273,1,0,0,0,1,1,2,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.9841,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,33.77252197,-56.34765625,1,0,0,response3disk_5,4,3.051,-3.338134766,-0.780700684,1,0,0,rectangle_8,-3.338134766,-0.780700684,1,0,0,-3.338134766,-0.780700684,1,0,0,0,2,2,6,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,-79.29675293,-23.31085205,1,0,0,response5disk_5,2,2.5855,-2.198608398,2.53894043,1,0,0,rectangle_8,-2.198608398,2.53894043,1,0,0,-2.198608398,2.53894043,1,0,0,0,3,3,4,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,24.68664551,-44.4901123,1,0,0,response3disk_5,4,1.6497,2.607055664,-4.169067383,1,0,0,rectangle_8,-83.34594727,-48.86395264,1,0,0,-7.722045898,-0.271057129,1,0,0,0,4,4,0,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.8158,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,FF,-26.27197266,-58.05957031,1,0,0,response5disk_5,3,1.6338,0.919494629,-5.140808105,1,0,0,rectangle_8,0.919494629,-5.140808105,1,0,0,0.919494629,-5.140808105,1,0,0,0,5,5,5,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,FF,-45.64831543,-54.31231689,1,0,0,response5disk_5,3,1.7212,-7.833740234,8.528076172,1,0,0,rectangle_8,-7.833740234,8.528076172,1,0,0,-7.833740234,8.528076172,1,0,0,0,6,6,3,1,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8995,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7883,2519,32.99450684,52.29840088,1,0,0,response1disk,,7,3.247070313,-1.540588379,1,0,0,rectangle,3.247070313,-1.540588379,1,0,0,3.247070313,-1.540588379,1,0,0,0,0,0,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1478,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1368,-70.35473633,22.92248535,1,0,0,response7disk,,1,-0.915222168,-2.680786133,1,0,0,rectangle,-0.915222168,-2.680786133,1,0,0,-0.915222168,-2.680786133,1,0,0,0,1,1,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0845,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1342,41.08544922,-26.03118896,1,0,0,response3disk,,5,-8.70513916,8.905670166,1,0,0,rectangle,-8.70513916,8.905670166,1,0,0,-8.70513916,8.905670166,1,0,0,0,2,2,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7647,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2413,31.76489258,-63.05511475,1,0,0,response3disk,,4,-3.389221191,0.003265381,1,0,0,rectangle,-3.389221191,0.003265381,1,0,0,-3.389221191,0.003265381,1,0,0,0,3,3,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8673,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2743,21.18096924,-53.16595459,1,0,0,response3disk,,4,5.809326172,-5.652069092,1,0,0,rectangle,5.809326172,-5.652069092,1,0,0,5.809326172,-5.652069092,1,0,0,0,4,4,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4677,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3825,59.08398438,21.04437256,1,0,0,response1disk,,6,6.912719727,-8.808227539,1,0,0,rectangle,6.912719727,-8.808227539,1,0,0,6.912719727,-8.808227539,1,0,0,0,5,5,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4846,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2083,26.80480957,-41.36773682,1,0,0,response3disk,,4,6.639099121,-6.910339355,1,0,0,rectangle,6.639099121,-6.910339355,1,0,0,6.639099121,-6.910339355,1,0,0,0,6,6,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0998,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2051,79.27246094,-37.32086182,1,0,0,response3disk,,5,2.431762695,-6.232666016,1,0,0,rectangle,2.431762695,-6.232666016,1,0,0,2.431762695,-6.232666016,1,0,0,0,7,7,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5352,,,,,,,,,,,,,,,,,,,,,,61035ae4030737a3d2a51a11,610365a85fddf2037cc5c2ca,2021-07-29_21h37.05.265,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3028,104.1896973,34.31427002,1,0,0,response1disk,,6,12.22747803,7.710174561,1,0,0,rectangle,12.22747803,7.710174561,1,0,0,12.22747803,7.710174561,1,0,0,0,8,8,58,1,,,,,,,,
