key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.179,space,21.6271,space,31.9823,space,8.5207,space,1.2157,space,4.4876,29,FF,40.60546875,96.8359375,1,0,0,response1disk_5,7,8.8038,-1.8828125,-1.64453125,1,0,0,rectangle_8,-1.8828125,-1.64453125,1,0,0,-1.8828125,-1.64453125,1,0,0,0,0,0,5,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,66.20703125,-94.62890625,1,0,0,response3disk_5,4,6.3344,2.1015625,-0.53125,1,0,0,rectangle_8,-35.33203125,-85.20703125,1,0,0,-5.421875,3.64453125,1,0,0,0,1,1,0,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.6189,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,73.12109375,-42.81640625,1,0,0,response3disk_5,5,2.8315,-8.05859375,-1.2734375,1,0,0,rectangle_8,-8.05859375,-1.2734375,1,0,0,-8.05859375,-1.2734375,1,0,0,0,2,2,2,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,55.32421875,-99.12890625,1,0,0,response3disk_5,4,2.8182,-5.19140625,6.54296875,1,0,0,rectangle_8,-5.19140625,6.54296875,1,0,0,-5.19140625,6.54296875,1,0,0,0,3,3,1,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,69.15234375,-32.5703125,1,0,0,response3disk_5,5,2.6818,-4.8203125,5.19140625,1,0,0,rectangle_8,-43.30859375,-89.8984375,1,0,0,-6.9375,-1.203125,1,0,0,0,4,4,4,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.8828,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,FF,36.05859375,64.5703125,1,0,0,response1disk_5,7,1.6517,-3.41015625,4.65625,1,0,0,rectangle_8,-3.41015625,4.65625,1,0,0,-3.41015625,4.65625,1,0,0,0,5,5,3,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,44.6015625,102.0625,1,0,0,response1disk_5,7,0.7845,2.3359375,3.16015625,1,0,0,rectangle_8,2.3359375,3.16015625,1,0,0,2.3359375,3.16015625,1,0,0,0,6,6,6,1,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.0531,,,,,,,,,,,,,,,,,,,,,,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2689,836,75.02734375,50.47265625,1,0,0,response1disk,,6,1.9453125,0.7265625,1,0,0,rectangle,1.9453125,0.7265625,1,0,0,1.9453125,0.7265625,1,0,0,0,0,0,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3666,,,,,,,,,,,,,,,,,,,,,,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,538,98.953125,65.47265625,1,0,0,response1disk,,6,-3.33203125,1.86328125,1,0,0,rectangle,-3.33203125,1.86328125,1,0,0,-3.33203125,1.86328125,1,0,0,0,1,1,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7178,,,,,,,,,,,,,,,,,,,,,,61035aefabf4c24bbcec1b7b,610377b24d9b832d1f35422d,2021-07-29_22h57.42.461,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,522,-42.625,-89.46484375,1,0,0,response5disk,,3,-2.5859375,2.16015625,1,0,0,rectangle,-2.5859375,2.16015625,1,0,0,-2.5859375,2.16015625,1,0,0,0,2,2,158,1,,,,,,,,
