key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5506,space,15.3901,space,24.3159,space,7.1441,space,4.5242,space,4.837,110,FF,56,125.6000061,1,0,0,response1disk_5,7,5.9685,0,4,1,0,0,rectangle_8,0,4,1,0,0,0,4,1,0,0,0,0,0,0,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,104,44.79998779,1,0,0,response1disk_5,6,4.2004,1.600036621,1.600006104,1,0,0,rectangle_8,-104,40,1,0,0,2.400024414,-7.200012207,1,0,0,0,1,1,6,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.6998,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,61.60003662,100.7999878,1,0,0,response1disk_5,7,2.016,-1.599975586,-1.600006104,1,0,0,rectangle_8,-1.599975586,-1.600006104,1,0,0,-1.599975586,-1.600006104,1,0,0,0,2,2,5,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,55.20001221,103.1999817,1,0,0,response1disk_5,7,4.4826,-1.599975586,3.199981689,1,0,0,rectangle_8,-1.599975586,3.199981689,1,0,0,-1.599975586,3.199981689,1,0,0,0,3,3,4,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,106.4000244,43.19998169,1,0,0,response1disk_5,6,4.2478,-4,-1.600006104,1,0,0,rectangle_8,-96,51.19998169,1,0,0,6.400024414,0,1,0,0,0,4,4,2,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.1831,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,110.4000244,49.6000061,1,0,0,response1disk_5,6,6.6996,-16.79998779,-11.20001221,1,0,0,rectangle_8,-16.79998779,-11.20001221,1,0,0,-16.79998779,-11.20001221,1,0,0,0,5,5,3,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,63.20001221,-111.2000122,1,0,0,response3disk_5,4,1.8644,4.799987793,-12,1,0,0,rectangle_8,4.799987793,-12,1,0,0,4.799987793,-12,1,0,0,0,6,6,1,1,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0493,,,,,,,,,,,,,,,,,,,,,,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.0748,3195,-36,101.6000061,1,0,0,response7disk,,0,-15.20001221,2.399993896,1,0,0,rectangle,-15.20001221,2.399993896,1,0,0,-15.20001221,2.399993896,1,0,0,0,0,0,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0494,,,,,,,,,,,,,,,,,,,,,,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1117,-44,-101.6000366,1,0,0,response5disk,,3,4.799987793,4,1,0,0,rectangle,4.799987793,4,1,0,0,4.799987793,4,1,0,0,0,1,1,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0838,,,,,,,,,,,,,,,,,,,,,,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3515,-41.59997559,-94.40002441,1,0,0,response5disk,,3,2.400024414,4,1,0,0,rectangle,2.400024414,4,1,0,0,2.400024414,4,1,0,0,0,2,2,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2646,,,,,,,,,,,,,,,,,,,,,,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2899,110.4000244,-73.6000061,1,0,0,response3disk,,5,-6.399963379,-8.800018311,1,0,0,rectangle,-6.399963379,-8.800018311,1,0,0,-6.399963379,-8.800018311,1,0,0,0,3,3,91,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5664,,,,,,,,,,,,,,,,,,,,,,61035b9030a71cfbc7b24897,610364d5b25cdebc6342c20d,2021-07-29_22h33.38.000,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1973,107.2000122,45.6000061,1,0,0,response1disk,,6,8,0.799987793,1,0,0,rectangle,8,0.799987793,1,0,0,8,0.799987793,1,0,0,0,4,4,110,1,,,,,,,,
