key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2379,space,11.7158,space,33.13,space,16.7733,space,11.7662,space,4.0691,74,PF,90.00002176,41.99999052,1,0,0,response1disk_5,6,12.1887,-11.3333146,-2.000010788,1,0,0,rectangle_8,-11.3333146,-2.000010788,1,0,0,-11.3333146,-2.000010788,1,0,0,0,0,0,4,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,FF,-74.66660913,49.99999076,1,0,0,response7disk_5,1,9.5823,-13.33331466,-1.333344102,1,0,0,rectangle_8,36.00002015,65.33330421,1,0,0,-9.999981225,-1.333344102,1,0,0,0,1,1,5,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.8347,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,PF,41.33339433,69.99999136,1,0,0,response1disk_5,7,5.7662,10.00001937,9.999989569,1,0,0,rectangle_8,10.00001937,9.999989569,1,0,0,10.00001937,9.999989569,1,0,0,0,2,2,6,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,FF,25.33339385,92.6666587,1,0,0,response1disk_5,7,6.2492,-7.333314478,-3.333344162,1,0,0,rectangle_8,-7.333314478,-3.333344162,1,0,0,-7.333314478,-3.333344162,1,0,0,0,3,3,3,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,33.33339409,83.99999177,1,0,0,response1disk_5,7,2.1167,-3.333314359,-2.666677475,1,0,0,rectangle_8,37.33339421,93.99999207,1,0,0,-2.666606983,8.666656196,1,0,0,0,4,4,0,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.5273,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,-56.66660859,-56.0000124,1,0,0,response5disk_5,2,4.0996,4.666685879,5.99998945,1,0,0,rectangle_8,4.666685879,5.99998945,1,0,0,4.666685879,5.99998945,1,0,0,0,5,5,1,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,80.66668814,29.99999017,1,0,0,response1disk_5,6,7.6391,9.333393375,-0.666677415,1,0,0,rectangle_8,9.333393375,-0.666677415,1,0,0,9.333393375,-0.666677415,1,0,0,0,6,6,2,1,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.6113,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.228,182,-75.3333165,45.99999064,1,0,0,response7disk,,1,-12.66660728,-2.666677475,1,0,0,rectangle,-12.66660728,-2.666677475,1,0,0,-12.66660728,-2.666677475,1,0,0,0,0,0,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.7166,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,977,-29.99998182,-55.33334571,1,0,0,response5disk,,3,5.333393256,-3.333344162,1,0,0,rectangle,5.333393256,-3.333344162,1,0,0,5.333393256,-3.333344162,1,0,0,0,1,1,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.6932,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2519,40.66668695,49.99999076,1,0,0,response1disk,,7,-2.666606983,-4.666677535,1,0,0,rectangle,-2.666606983,-4.666677535,1,0,0,-2.666606983,-4.666677535,1,0,0,0,2,2,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1666,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2942,32.66668671,-92.00001347,1,0,0,response3disk,,4,8.000019312,-4.000010848,0,0,1,rectangle,8.000019312,-4.000010848,0,0,1,8.000019312,-4.000010848,0,0,1,0,3,3,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0758,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1690,34.66668677,-85.33334661,1,0,0,response3disk,,4,6.666685939,-0.666677415,1,0,0,rectangle,6.666685939,-0.666677415,1,0,0,6.666685939,-0.666677415,1,0,0,0,4,4,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8328,,,,,,,,,,,,,,,,,,,,,,61035baf05c0521abd331da4,6103666e1ea997a57592113f,2021-07-30_03h44.50.284,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2297,-31.33331519,-85.33334661,1,0,0,response5disk,,3,-1.999980986,-3.333344162,1,0,0,rectangle,-1.999980986,-3.333344162,1,0,0,-1.999980986,-3.333344162,1,0,0,0,5,5,0,1,,,,,,,,
