key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.9532,space,15.3071,space,17.7235,space,20.386,space,1.5736,space,3.9359,53,PF,58.984375,102.265625,1,0,0,response1disk_5,7,3.5495,0.4609375,-3.11328125,1,0,0,rectangle_8,0.4609375,-3.11328125,1,0,0,0.4609375,-3.11328125,1,0,0,0,0,0,2,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,45.5546875,103.0585938,1,0,0,response1disk_5,7,4.0987,-1.19921875,-6.42578125,1,0,0,rectangle_8,-82.1015625,-33.89453125,1,0,0,-3.69140625,-4.89453125,1,0,0,0,1,1,3,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,4.4505,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,-83.78125,-38.5546875,1,0,0,response5disk_5,2,6.9839,0.7109375,-6.125,1,0,0,rectangle_8,0.7109375,-6.125,1,0,0,0.7109375,-6.125,1,0,0,0,2,2,1,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,PF,50.49609375,84.0234375,1,0,0,response1disk_5,7,3.1003,-13.62890625,-6.3671875,1,0,0,rectangle_8,-13.62890625,-6.3671875,1,0,0,-13.62890625,-6.3671875,1,0,0,0,3,3,4,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,50.32421875,-93.91796875,1,0,0,response3disk_5,4,9.6664,-4.16015625,-1.1796875,1,0,0,rectangle_8,-97.48046875,-36.03515625,1,0,0,-6.546875,-1.546875,1,0,0,0,4,4,0,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.0326,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,-25.21875,-76.3359375,1,0,0,response5disk_5,3,3.1511,12.6171875,4.546875,1,0,0,rectangle_8,12.6171875,4.546875,1,0,0,12.6171875,4.546875,1,0,0,0,5,5,5,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,PF,99.8984375,27.4921875,1,0,0,response1disk_5,6,2.983,-5.89453125,3.609375,1,0,0,rectangle_8,-5.89453125,3.609375,1,0,0,-5.89453125,3.609375,1,0,0,0,6,6,6,1,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6679,,,,,,,,,,,,,,,,,,,,,,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.6743,2475,92.39453125,-56.66796875,1,0,0,response3disk,,5,1.29296875,2.87109375,1,0,0,rectangle,1.29296875,2.87109375,1,0,0,1.29296875,2.87109375,1,0,0,0,0,0,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6337,,,,,,,,,,,,,,,,,,,,,,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3230,41.23046875,81.1953125,1,0,0,response1disk,,7,12.53125,4.80859375,1,0,0,rectangle,12.53125,4.80859375,1,0,0,12.53125,4.80859375,1,0,0,0,1,1,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.483,,,,,,,,,,,,,,,,,,,,,,61035ccd030737a3d2a51a2d,61036868186d5af3e8769502,2021-07-29_22h48.46.656,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,619,-73.59375,35.609375,1,0,0,response7disk,,1,-7.79296875,-8.640625,1,0,0,rectangle,-7.79296875,-8.640625,1,0,0,-7.79296875,-8.640625,1,0,0,0,2,2,5,1,,,,,,,,
