key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6753,space,5.6965,space,10.7802,space,2.5864,space,1.0543,space,4.3585,62,PF,-103,-66,1,0,0,response5disk_5,2,4.572,29,-2,1,0,0,rectangle_8,29,-2,1,0,0,29,-2,1,0,0,0,0,0,4,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,FF,-60,-145,1,0,0,response5disk_5,3,9.7254,11,-9,1,0,0,rectangle_8,-110,54,1,0,0,14,-6,1,0,0,0,1,1,3,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.6546,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,FF,103,-52,1,0,0,response3disk_5,5,3.2199,9,-4,1,0,0,rectangle_8,9,-4,1,0,0,9,-4,1,0,0,0,2,2,5,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,130,-84,1,0,0,response3disk_5,5,5.6845,7,13,1,0,0,rectangle_8,7,13,1,0,0,7,13,1,0,0,0,3,3,1,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,PF,128,43,1,0,0,response1disk_5,6,2.4074,5,-7,1,0,0,rectangle_8,-137,50,1,0,0,-3,-5,1,0,0,0,4,4,2,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.8686,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,-68,116,1,0,0,response7disk_5,0,3.4988,19,2,1,0,0,rectangle_8,19,2,1,0,0,19,2,1,0,0,0,5,5,6,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,FF,82,-106,1,0,0,response3disk_5,4,2.9533,-9,1,1,0,0,rectangle_8,-9,1,1,0,0,-9,1,1,0,0,0,6,6,0,1,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.1915,,,,,,,,,,,,,,,,,,,,,,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.0872,3946,143,-52,1,0,0,response3disk,,5,10,-9,1,0,0,rectangle,10,-9,1,0,0,10,-9,1,0,0,0,0,0,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.2396,,,,,,,,,,,,,,,,,,,,,,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1135,123,62,1,0,0,response1disk,,6,5,-6,1,0,0,rectangle,5,-6,1,0,0,5,-6,1,0,0,0,1,1,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4706,,,,,,,,,,,,,,,,,,,,,,61035cde69aaa4298e4e3dd1,610367388d2d09ec85bb0ae4,2021-07-29_21h43.48.147,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,699,140,66,1,0,0,response1disk,,6,20,-11,1,0,0,rectangle,20,-11,1,0,0,20,-11,1,0,0,0,2,2,45,1,,,,,,,,
