key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3593,space,29.5613,space,52.2969,space,3.0749,space,2.4609,space,5.1663,86,PF,48.0000205,-76.00001299,1,0,0,response3disk_5,4,9.1317,14.00001949,-4.000010848,1,0,0,rectangle_8,14.00001949,-4.000010848,1,0,0,14.00001949,-4.000010848,1,0,0,0,0,0,2,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,FF,-55.9999826,-28.00001156,1,0,0,response5disk_5,2,4.8614,3.333393196,-6.666677594,1,0,0,rectangle_8,60.00002086,71.33330439,1,0,0,5.333393256,-3.333344162,1,0,0,0,1,1,0,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.5257,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,-71.99998307,35.33330331,1,0,0,response7disk_5,1,6.807,-11.99998128,5.333322763,1,0,0,rectangle_8,-11.99998128,5.333322763,1,0,0,-11.99998128,5.333322763,1,0,0,0,2,2,4,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,52.00002062,85.99999183,1,0,0,response1disk_5,7,7.2542,2.000019133,6.666656137,1,0,0,rectangle_8,2.000019133,6.666656137,1,0,0,2.000019133,6.666656137,1,0,0,0,3,3,5,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,FF,-33.33331525,-58.00001246,1,0,0,response5disk_5,3,2.8828,8.666685998,-1.333344102,1,0,0,rectangle_8,66.66668773,96.66665882,1,0,0,4.000019193,11.33332294,1,0,0,0,4,4,3,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,5.0674,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,134,PF,38.66668689,-78.66667974,1,0,0,response3disk_5,4,5.0085,5.333393256,2.666656017,1,0,0,rectangle_8,5.333393256,2.666656017,1,0,0,5.333393256,2.666656017,1,0,0,0,5,5,1,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,103.3333555,37.33330337,1,0,0,response1disk_5,6,6.3544,-11.3333146,9.333322883,1,0,0,rectangle_8,-11.3333146,9.333322883,1,0,0,-11.3333146,9.333322883,1,0,0,0,6,6,6,1,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.9464,,,,,,,,,,,,,,,,,,,,,,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.7255,1441,-23.33331496,-86.66667998,1,0,0,response5disk,,3,-9.333314538,-5.333344221,1,0,0,rectangle,-9.333314538,-5.333344221,1,0,0,-9.333314538,-5.333344221,1,0,0,0,0,0,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.0561,,,,,,,,,,,,,,,,,,,,,,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2969,61.33335423,29.99999017,1,0,0,response1disk,,6,2.66668582,-7.333344281,1,0,0,rectangle,2.66668582,-7.333344281,1,0,0,2.66668582,-7.333344281,1,0,0,0,1,1,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5692,,,,,,,,,,,,,,,,,,,,,,61035da6b080f8c199539329,61036d7d3da8a854e137c028,2021-07-29_21h10.38.097,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1639,-94.66660972,41.99999052,1,0,0,response7disk,,1,12.00001943,2.666656017,1,0,0,rectangle,12.00001943,2.666656017,1,0,0,12.00001943,2.666656017,1,0,0,0,2,2,122,1,,,,,,,,
