key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2937,space,2.9522,space,18.2954,space,4.1043,space,0.0193,space,3.0691,6,FF,95,-62,1,0,0,response3disk_5,5,9.6522,15,-7,1,0,0,rectangle_8,15,-7,1,0,0,15,-7,1,0,0,0,0,0,3,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,41,91,1,0,0,response1disk_5,7,3.4741,-5,-13,1,0,0,rectangle_8,-60,81,1,0,0,-2,-8,1,0,0,0,1,1,5,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.1405,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,96,56,1,0,0,response1disk_5,6,1.3533,11,-7,1,0,0,rectangle_8,11,-7,1,0,0,11,-7,1,0,0,0,2,2,6,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,-95,-42,1,0,0,response5disk_5,2,1.5185,21,6,1,0,0,rectangle_8,21,6,1,0,0,21,6,1,0,0,0,3,3,0,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,55,89,1,0,0,response1disk_5,7,1.4845,4,11,1,0,0,rectangle_8,-55,114,1,0,0,9,-16,1,0,0,0,4,4,2,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.9546,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,-38,-117,1,0,0,response5disk_5,3,1.2845,1,6,1,0,0,rectangle_8,1,6,1,0,0,1,6,1,0,0,0,5,5,4,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,PF,47,97,1,0,0,response1disk_5,7,1.101,8,1,1,0,0,rectangle_8,8,1,1,0,0,8,1,1,0,0,0,6,6,1,1,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0671,,,,,,,,,,,,,,,,,,,,,,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,1.912,2100,-78,-29,1,0,0,response5disk,,2,-14,-3,1,0,0,rectangle,-14,-3,1,0,0,-14,-3,1,0,0,0,0,0,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1477,,,,,,,,,,,,,,,,,,,,,,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1720,54,93,1,0,0,response1disk,,7,14,5,1,0,0,rectangle,14,5,1,0,0,14,5,1,0,0,0,1,1,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1666,,,,,,,,,,,,,,,,,,,,,,61035e5f92396a346169f1b5,610369223c6d86eda699d859,2021-07-29_22h52.13.206,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,650,54,-102,1,0,0,response3disk,,4,-3,7,1,0,0,rectangle,-3,7,1,0,0,-3,7,1,0,0,0,2,2,145,1,,,,,,,,
