key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.488,space,2.422,space,14.253,space,4.961,space,0.612,space,3.466,159,FF,33,99,1,0,0,response1disk_5,7,6.267,8,3,1,0,0,rectangle_8,8,3,1,0,0,8,3,1,0,0,0,0,0,5,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,76,-63,1,0,0,response3disk_5,5,5.184,14,-6,1,0,0,rectangle_8,-77,-53,1,0,0,0,-3,1,0,0,0,1,1,2,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.964,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,47,75,1,0,0,response1disk_5,7,3.379,13,7,1,0,0,rectangle_8,13,7,1,0,0,13,7,1,0,0,0,2,2,6,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-41,-99,1,0,0,response5disk_5,3,3.627,-2,-5,1,0,0,rectangle_8,-2,-5,1,0,0,-2,-5,1,0,0,0,3,3,3,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,93,34,1,0,0,response1disk_5,6,4.997,-5,3,1,0,0,rectangle_8,-87,-44,1,0,0,6,-5,1,0,0,0,4,4,1,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.041,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,58,81,1,0,0,response1disk_5,7,4.01,7,6,1,0,0,rectangle_8,7,6,1,0,0,7,6,1,0,0,0,5,5,4,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,FF,46,-55,1,0,0,response3disk_5,4,4.699,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,-2,-1,1,0,0,0,6,6,0,1,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.061,,,,,,,,,,,,,,,,,,,,,,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.388,1119,50,-84,1,0,0,response3disk,,4,-4,7,1,0,0,rectangle,-66,-39,1,0,0,response5disk_3,TRUE,2,2,"[7,11,1,157,196,64,252,22,194,275,139,108,108,280,77,116,245,193,138,241]",2.044,0,-4,1,0,0,rectangle,0,0,0,70,1,
,,,,,,,,,,,,,FF,,,,,,,,2.834,,,,,,,,,,,,,,,,,,,,,,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3314,51,58,1,0,0,response1disk,,7,-4,5,1,0,0,rectangle,-4,5,1,0,0,,,,,,,-4,5,1,0,0,,0,1,1,114,1,
,,,,,,,,,,,,,FF,,,,,,,,1.971,,,,,,,,,,,,,,,,,,,,,,61035f2f2b70d404ca70fb15,61036a873946c5585509aede,2021-07-29_22h58.33.242,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3893,-43,-75,1,0,0,response5disk,,3,0,-1,1,0,0,rectangle,0,-1,1,0,0,,,,,,,0,-1,1,0,0,,0,2,2,80,1,
