key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6516,space,5.4573,space,9.8171,space,2.2927,space,1.1375,space,4.0691,14,PF,46.00002044,87.99999189,1,0,0,response1disk_5,7,10.7787,-3.999981046,5.333322763,1,0,0,rectangle_8,-3.999981046,5.333322763,1,0,0,-3.999981046,5.333322763,1,0,0,0,0,0,2,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,FF,65.33335435,37.9999904,1,0,0,response1disk_5,6,3.3833,11.33339343,-3.333344162,1,0,0,rectangle_8,88.66668838,28.66665679,1,0,0,-2.666606983,4.666656077,1,0,0,0,1,1,3,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.5176,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,PF,-49.99998242,-86.00001329,1,0,0,response5disk_5,3,3.7662,-5.999981105,2.666656017,1,0,0,rectangle_8,-5.999981105,2.666656017,1,0,0,-5.999981105,2.666656017,1,0,0,0,2,2,6,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,PF,34.66668677,-82.66667986,1,0,0,response3disk_5,4,4.9155,1.9735E-05,4.666656077,1,0,0,rectangle_8,1.9735E-05,4.666656077,1,0,0,1.9735E-05,4.666656077,1,0,0,0,3,3,4,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,FF,42.66668701,-78.00001305,1,0,0,response3disk_5,4,2.0489,-3.999981046,3.333322704,1,0,0,rectangle_8,88.66668838,26.66665673,1,0,0,8.000019312,2.666656017,1,0,0,0,4,4,5,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6164,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,40.00002027,-62.00001258,1,0,0,response3disk_5,4,1.7117,-5.333314419,11.33332294,1,0,0,rectangle_8,-5.333314419,11.33332294,1,0,0,-5.333314419,11.33332294,1,0,0,0,5,5,1,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,FF,54.00002068,-37.33334517,1,0,0,response3disk_5,5,3.1162,2.000019133,7.99998951,1,0,0,rectangle_8,2.000019133,7.99998951,1,0,0,2.000019133,7.99998951,1,0,0,0,6,6,0,1,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5171,,,,,,,,,,,,,,,,,,,,,,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5628,891,-88.66660955,-43.33334535,1,0,0,response5disk,,2,10.66668606,1.999989331,1,0,0,rectangle,10.66668606,1.999989331,1,0,0,10.66668606,1.999989331,1,0,0,0,0,0,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0839,,,,,,,,,,,,,,,,,,,,,,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,178,48.66668719,73.33330444,1,0,0,response1disk,,7,1.9735E-05,-1.07288E-05,1,0,0,rectangle,1.9735E-05,-1.07288E-05,1,0,0,1.9735E-05,-1.07288E-05,1,0,0,0,1,1,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4159,,,,,,,,,,,,,,,,,,,,,,61035f57b8399021c313c379,610364a49d089ebea6141013,2021-07-29_22h32.37.648,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,838,72.00002122,41.33330349,1,0,0,response1disk,,6,-4.666607042,1.333322644,1,0,0,rectangle,-4.666607042,1.333322644,1,0,0,-4.666607042,1.333322644,1,0,0,0,2,2,125,1,,,,,,,,
