key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5772,space,6.335,space,28.0638,space,3.3372,space,0.8498,space,4.8775,152,FF,60.2331543,-39.21234131,1,0,0,response3disk_5,5,15.451,1.750244141,-6.946594238,1,0,0,rectangle_8,1.750244141,-6.946594238,1,0,0,1.750244141,-6.946594238,1,0,0,0,0,0,3,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,-60.09545898,-20.95263672,1,0,0,response5disk_5,2,2.1999,-4.224914551,-3.589324951,1,0,0,rectangle_8,59.22650146,-30.62145996,1,0,0,-9.25,4.416778564,1,0,0,0,1,1,2,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.6686,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,30.82128906,-65.6138916,1,0,0,response3disk_5,4,3.0824,0.926818848,-1.627563477,1,0,0,rectangle_8,0.926818848,-1.627563477,1,0,0,0.926818848,-1.627563477,1,0,0,0,2,2,1,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,-54.5244751,-81.54089355,1,0,0,response5disk_5,3,4.7668,-17.35070801,-5.302307129,1,0,0,rectangle_8,-17.35070801,-5.302307129,1,0,0,-17.35070801,-5.302307129,1,0,0,0,3,3,0,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,-77.40484619,29.69128418,1,0,0,response7disk_5,1,2.0837,17.34436035,-6.758850098,1,0,0,rectangle_8,74.48632813,-33.63092041,1,0,0,11.48187256,-6.900939941,1,0,0,0,4,4,4,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.6335,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,FF,-61.00793457,-38.66238403,1,0,0,response5disk_5,2,2.7325,3.054199219,-12.63256836,1,0,0,rectangle_8,3.054199219,-12.63256836,1,0,0,3.054199219,-12.63256836,1,0,0,0,5,5,5,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,PF,-94.5133667,48.54138184,1,0,0,response7disk_5,1,3.5994,10.50396729,10.45245361,1,0,0,rectangle_8,10.50396729,10.45245361,1,0,0,10.50396729,10.45245361,1,0,0,0,6,6,6,1,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.383,,,,,,,,,,,,,,,,,,,,,,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9177,561,33.34753418,-102.6315308,1,0,0,response3disk,,4,2.696472168,-5.703063965,1,0,0,rectangle,2.696472168,-5.703063965,1,0,0,2.696472168,-5.703063965,1,0,0,0,0,0,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2991,,,,,,,,,,,,,,,,,,,,,,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3425,-39.47943115,78.2024231,1,0,0,response7disk,,0,15.55267334,-1.407531738,1,0,0,rectangle,15.55267334,-1.407531738,1,0,0,15.55267334,-1.407531738,1,0,0,0,1,1,104,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.7832,,,,,,,,,,,,,,,,,,,,,,610361af7915c5f2c51a4983,61036bc50932c682af6e03c5,2021-07-29_22h09.12.519,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1171,88.53521729,68.01123047,1,0,0,response1disk,,6,-3.989624023,-10.04345703,1,0,0,rectangle,-3.989624023,-10.04345703,1,0,0,-3.989624023,-10.04345703,1,0,0,0,2,2,90,1,,,,,,,,
