key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.072,space,8.096,space,62.418,space,50.395,space,4.309,space,5.876,133,PF,136,45,1,0,0,response1disk_5,6,4.241,2,-4,1,0,0,rectangle_8,2,-4,1,0,0,2,-4,1,0,0,0,0,0,6,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,-112,55,1,0,0,response7disk_5,1,4.102,4,-4,1,0,0,rectangle_8,-76,153,1,0,0,6,0,1,0,0,0,1,1,5,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.321,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,-41,-136,1,0,0,response5disk_5,3,2.102,-8,-6,1,0,0,rectangle_8,-8,-6,1,0,0,-8,-6,1,0,0,0,2,2,1,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,FF,65,91,1,0,0,response1disk_5,7,1.654,-2,-4,1,0,0,rectangle_8,-2,-4,1,0,0,-2,-4,1,0,0,0,3,3,3,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,FF,-97,59,1,0,0,response7disk_5,1,3.02,-3,-6,1,0,0,rectangle_8,-61,103,1,0,0,-15,1,1,0,0,0,4,4,0,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.384,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,-91,-42,1,0,0,response5disk_5,2,2.687,3,0,1,0,0,rectangle_8,3,0,1,0,0,3,0,1,0,0,0,5,5,4,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,PF,-39,101,1,0,0,response7disk_5,0,1.569,0,-8,1,0,0,rectangle_8,0,-8,1,0,0,0,-8,1,0,0,0,6,6,2,1,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.618,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,7.072,2040,135,70,1,0,0,response1disk,,6,3,-7,1,0,0,rectangle,3,-7,1,0,0,3,-7,1,0,0,0,0,0,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,11.898,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,722,-108,51,1,0,0,response7disk,,1,2,2,1,0,0,rectangle,2,2,1,0,0,2,2,1,0,0,0,1,1,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.336,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3066,-57,-133,1,0,0,response5disk,,3,8,-2,1,0,0,rectangle,8,-2,1,0,0,8,-2,1,0,0,0,2,2,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.653,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2862,112,-74,1,0,0,response3disk,,5,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,-2,-1,1,0,0,0,3,3,100,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.722,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2117,81,107,1,0,0,response1disk,,7,13,-5,1,0,0,rectangle,13,-5,1,0,0,13,-5,1,0,0,0,4,4,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.268,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,257,-62,-117,1,0,0,response5disk,,3,6,-7,1,0,0,rectangle,6,-7,1,0,0,6,-7,1,0,0,0,5,5,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.584,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,122,123,57,1,0,0,response1disk,,6,-7,-5,1,0,0,rectangle,-7,-5,1,0,0,-7,-5,1,0,0,0,6,6,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.035,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4112,115,-66,1,0,0,response3disk,,5,7,5,1,0,0,rectangle,7,5,1,0,0,7,5,1,0,0,0,7,7,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.219,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3758,45,115,1,0,0,response1disk,,7,5,6,1,0,0,rectangle,5,6,1,0,0,5,6,1,0,0,0,8,8,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.252,,,,,,,,,,,,,,,,,,,,,,6103630d21124460e8fb210d,610367b4cc9a687fc6d55d1e,2021-07-29_19h45.52.890,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3179,60,-124,1,0,0,response3disk,,4,-5,-2,1,0,0,rectangle,-5,-2,1,0,0,-5,-2,1,0,0,0,9,9,67,1,,,,,,,,
