key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.604,space,6.051,space,19.927,space,11.628,space,9.587,space,8.687,32,FF,-34,64,1,0,0,response7disk_5,0,10.079,1,-9,1,0,0,rectangle_8,1,-9,1,0,0,1,-9,1,0,0,0,0,0,0,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,PF,89,35,1,0,0,response1disk_5,6,6.919,1,-11,1,0,0,rectangle_8,47,-103,1,0,0,16,3,1,0,0,0,1,1,4,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,4.428,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,66,98,1,0,0,response1disk_5,7,3.957,-4,-15,1,0,0,rectangle_8,-4,-15,1,0,0,-4,-15,1,0,0,0,2,2,2,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,48,88,1,0,0,response1disk_5,7,2.11,-1,-18,1,0,0,rectangle_8,-1,-18,1,0,0,-1,-18,1,0,0,0,3,3,1,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,FF,87,-72,1,0,0,response3disk_5,5,2.225,13,1,1,0,0,rectangle_8,46,-87,1,0,0,3,5,1,0,0,0,4,4,5,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.962,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,81,-103,1,0,0,response3disk_5,4,3.627,13,-4,1,0,0,rectangle_8,13,-4,1,0,0,13,-4,1,0,0,0,5,5,6,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,FF,99,26,1,0,0,response1disk_5,6,2.169,17,-4,1,0,0,rectangle_8,17,-4,1,0,0,17,-4,1,0,0,0,6,6,3,1,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.673,,,,,,,,,,,,,,,,,,,,,,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.568,2681,49,-91,1,0,0,response3disk,,4,13,0,1,0,0,rectangle,13,0,1,0,0,13,0,1,0,0,0,0,0,61,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.537,,,,,,,,,,,,,,,,,,,,,,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2937,46,75,1,0,0,response1disk,,7,-2,-11,1,0,0,rectangle,-2,-11,1,0,0,-2,-11,1,0,0,0,1,1,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.605,,,,,,,,,,,,,,,,,,,,,,6103633108de7b1f37485955,61036d6636f49f6fa4568585,2021-07-29_23h16.03.011,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4339,54,83,1,0,0,response1disk,,7,5,4,1,0,0,rectangle,5,4,1,0,0,5,4,1,0,0,0,2,2,119,1,,,,,,,,
