key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6083,space,10.2636,space,22.2494,space,3.2386,space,2.223,space,3.4171,42,PF,-31.4979248,60.00762939,1,0,0,response7disk_5,0,7.9731,-1.135192871,-4.145721436,1,0,0,rectangle_8,-1.135192871,-4.145721436,1,0,0,-1.135192871,-4.145721436,1,0,0,0,0,0,6,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,44.05664063,65.80023193,1,0,0,response1disk_5,7,2.1502,-0.557434082,-0.064697266,1,0,0,rectangle_8,99.38934326,47.37646484,1,0,0,3.677368164,-1.639953613,1,0,0,0,1,1,2,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.5674,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,33.34490967,67.16253662,1,0,0,response1disk_5,7,3.1003,0.550109863,2.954956055,1,0,0,rectangle_8,0.550109863,2.954956055,1,0,0,0.550109863,2.954956055,1,0,0,0,2,2,4,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,FF,33.20935059,67.50384521,1,0,0,response1disk_5,7,1.5335,-3.945678711,-0.190063477,1,0,0,rectangle_8,-3.945678711,-0.190063477,1,0,0,-3.945678711,-0.190063477,1,0,0,0,3,3,5,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,FF,39.09619141,-63.92529297,1,0,0,response3disk_5,4,2.1828,2.54107666,-1.685180664,1,0,0,rectangle_8,91.99859619,37.33828735,1,0,0,0.125183105,3.338684082,1,0,0,0,4,4,0,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.0491,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,47.27545166,78.83721924,1,0,0,response1disk_5,7,1.3504,-0.352478027,1.37322998,1,0,0,rectangle_8,-0.352478027,1.37322998,1,0,0,-0.352478027,1.37322998,1,0,0,0,5,5,3,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,89.23828125,-41.77365112,1,0,0,response3disk_5,5,2.2183,6.086853027,4.663970947,1,0,0,rectangle_8,6.086853027,4.663970947,1,0,0,6.086853027,4.663970947,1,0,0,0,6,6,1,1,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8999,,,,,,,,,,,,,,,,,,,,,,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,5.2308,1205,36.1418457,76.5826416,1,0,0,response1disk,,7,-3.268310547,-2.35168457,1,0,0,rectangle,-3.268310547,-2.35168457,1,0,0,-3.268310547,-2.35168457,1,0,0,0,0,0,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5506,,,,,,,,,,,,,,,,,,,,,,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2064,48.70935059,94.05917358,1,0,0,response1disk,,7,-4.556213379,-3.055664063,1,0,0,rectangle,-4.556213379,-3.055664063,1,0,0,-4.556213379,-3.055664063,1,0,0,0,1,1,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4494,,,,,,,,,,,,,,,,,,,,,,61036353cf559b0c0d3a025c,610367f7cfd6951386c96279,2021-07-29_22h46.57.033,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,945,46.00402832,80.38418579,1,0,0,response1disk,,7,-0.468261719,-0.094818115,1,0,0,rectangle,-0.468261719,-0.094818115,1,0,0,-0.468261719,-0.094818115,1,0,0,0,2,2,119,1,,,,,,,,
