key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.532,space,7.431,space,18.994,space,4.233,space,2.394,space,5.781,139,FF,56,104,1,0,0,response1disk_5,7,14.199,4,5,1,0,0,rectangle_8,4,5,1,0,0,4,5,1,0,0,0,0,0,0,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,FF,80,55,1,0,0,response1disk_5,6,23.051,-8,-2,1,0,0,rectangle_8,57,-42,1,0,0,8,-3,1,0,0,0,1,1,5,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.583,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,PF,-39,-70,1,0,0,response5disk_5,3,1.816,4,1,0,0,1,rectangle_8,4,1,0,0,1,4,1,0,0,1,0,2,2,1,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,54,-78,1,0,1,response3disk_5,4,6.499,5,-10,1,0,1,rectangle_8,5,-10,1,0,1,5,-10,1,0,1,0,3,3,6,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,PF,50,-27,1,0,1,response3disk_5,5,4.932,1,-8,1,0,1,rectangle_8,77,-25,1,0,1,15,-6,1,0,1,0,4,4,4,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.666,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,PF,-75,-51,1,0,1,response5disk_5,2,1.986,11,1,1,0,1,rectangle_8,11,1,1,0,1,11,1,1,0,1,0,5,5,2,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,FF,22,-30,1,0,1,response3disk_5,4,2.566,8,-5,1,0,1,rectangle_8,8,-5,1,0,1,8,-5,1,0,1,0,6,6,3,1,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.783,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,39.801,16,-45,-74,1,0,1,response5disk,,3,2,-3,1,0,1,rectangle,2,-3,1,0,1,2,-3,1,0,1,0,0,0,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.482,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1175,72,-35,1,0,1,response3disk,,5,-10,11,1,0,1,rectangle,-10,11,1,0,1,-10,11,1,0,1,0,1,1,104,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,315,96,-37,1,0,1,response3disk,,5,3,6,1,0,1,rectangle,-56,111,1,0,1,5,-13,1,0,1,0,2,2,146,1,,response7disk_3,TRUE,0,0,"[208,217,3,146,229,136,80,193,46,209,272,142,322,314,46,280,113,273,145,136]",1.731,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.966,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4258,55,25,1,0,1,response1disk,,6,9,6,1,0,1,rectangle,9,6,1,0,1,9,6,1,0,1,0,3,3,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,785,-95,-78,1,0,1,response5disk,,2,-1,-4,1,0,1,rectangle,-1,-4,1,0,1,-1,-4,1,0,1,0,4,4,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.399,,,,,,,,,,,,,,,,,,,,,,610363c0fdfd44b94488e6ef,61036fa0c4c2a383a6c91529,2021-07-29_22h20.20.877,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3624,-95,-19,1,0,1,response5disk,,2,-12,-4,1,0,1,rectangle,-12,-4,1,0,1,-12,-4,1,0,1,0,5,5,26,1,,,,,,,,
