key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0952,space,15.771,space,23.6362,space,9.7737,space,0.6941,space,4.5992,27,PF,-35.98352051,-89.4588623,1,0,0,response5disk_5,3,4.2029,3.76776123,4.823303223,1,0,0,rectangle_8,3.76776123,4.823303223,1,0,0,3.76776123,4.823303223,1,0,0,0,0,0,1,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,FF,-80.12713623,-43.06781006,1,0,0,response5disk_5,2,2.3967,9.810241699,-4.57409668,1,0,0,rectangle_8,-98.67346191,-35.94281006,1,0,0,8.105285645,-7.786682129,1,0,0,0,1,1,5,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.5681,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,FF,57.31103516,-40.33044434,1,0,0,response3disk_5,5,4.0668,-5.269836426,5.67175293,1,0,0,rectangle_8,-5.269836426,5.67175293,1,0,0,-5.269836426,5.67175293,1,0,0,0,2,2,0,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,87.33209229,29.69577026,1,0,0,response1disk_5,6,3.2506,-8.390625,-3.396087646,1,0,0,rectangle_8,-8.390625,-3.396087646,1,0,0,-8.390625,-3.396087646,1,0,0,0,3,3,6,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,FF,-82.56402588,48.71582031,1,0,0,response7disk_5,1,2.9177,-15.2020874,-7.286132813,1,0,0,rectangle_8,-102.7129517,-48.85931396,1,0,0,-0.709350586,-7.020843506,1,0,0,0,4,4,3,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.8656,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,86.81451416,-33.88342285,1,0,0,response3disk_5,5,2.3826,-4.04083252,4.127746582,1,0,0,rectangle_8,-4.04083252,4.127746582,1,0,0,-4.04083252,4.127746582,1,0,0,0,5,5,4,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,74.73376465,34.59310913,1,0,0,response1disk_5,6,2.5841,-7.244812012,0.200714111,1,0,0,rectangle_8,-7.244812012,0.200714111,1,0,0,-7.244812012,0.200714111,1,0,0,0,6,6,2,1,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5829,,,,,,,,,,,,,,,,,,,,,,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5262,2669,-36.83691406,-72.2890625,1,0,0,response5disk,,3,-2.928222656,-4.75592041,1,0,0,rectangle,-2.928222656,-4.75592041,1,0,0,-2.928222656,-4.75592041,1,0,0,0,0,0,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5836,,,,,,,,,,,,,,,,,,,,,,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,105,-46.26953125,-81.29162598,1,0,0,response5disk,,3,-8.806335449,3.947631836,1,0,0,rectangle,-8.806335449,3.947631836,1,0,0,-8.806335449,3.947631836,1,0,0,0,1,1,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9001,,,,,,,,,,,,,,,,,,,,,,6103645ddeeb9221c771e721,610368abf9c6dac72b80afc8,2021-07-29_22h50.10.188,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3262,93.22827148,35.47665405,1,0,0,response1disk,,6,13.89807129,-0.132019043,1,0,0,rectangle,13.89807129,-0.132019043,1,0,0,13.89807129,-0.132019043,1,0,0,0,2,2,41,1,,,,,,,,
