key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6869,space,12.8643,space,52.6477,space,7.5698,space,2.6499,space,4.4242,82,PF,84.0000127,47.99999428,1,0,0,response1disk_5,6,6.0877,8.000011563,-11.2000066,1,0,0,rectangle_8,8.000011563,-11.2000066,1,0,0,8.000011563,-11.2000066,1,0,0,0,0,0,4,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,37.60006083,65.59999454,1,0,0,response1disk_5,7,1.3405,-2.399939764,-4.800006509,1,0,0,rectangle_8,81.60001266,-38.40000701,1,0,0,-0.799988568,-6.4373E-06,1,0,0,0,1,1,2,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.7661,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,FF,89.60001278,-42.40000707,1,0,0,response3disk_5,5,2.355,1.600060296,-6.4373E-06,1,0,0,rectangle_8,1.600060296,-6.4373E-06,1,0,0,1.600060296,-6.4373E-06,1,0,0,0,2,2,5,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,68.80001247,-32.80000693,1,0,0,response3disk_5,5,1.4099,1.14441E-05,2.399993598,1,0,0,rectangle_8,1.14441E-05,2.399993598,1,0,0,1.14441E-05,2.399993598,1,0,0,0,3,3,1,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,36.80001199,-72.00000751,1,0,0,response3disk_5,4,1.778,-2.399939764,-6.400006533,1,0,0,rectangle_8,101.600013,-37.600007,1,0,0,6.400011539,-5.600006521,1,0,0,0,4,4,3,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.1256,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,PF,50.4000122,-94.40000784,1,0,0,response3disk_5,4,3.0285,-1.59998858,-6.400006533,1,0,0,rectangle_8,-1.59998858,-6.400006533,1,0,0,-1.59998858,-6.400006533,1,0,0,0,5,5,6,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,FF,40.80001205,-88.80000776,1,0,0,response3disk_5,4,2.2085,5.600060356,-6.4373E-06,1,0,0,rectangle_8,5.600060356,-6.4373E-06,1,0,0,5.600060356,-6.4373E-06,1,0,0,0,6,6,0,1,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.0907,,,,,,,,,,,,,,,,,,,,,,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,8.9492,3464,85.60001272,-30.40000689,1,0,0,response3disk,,5,12.00001162,-0.800006449,1,0,0,rectangle,12.00001162,-0.800006449,1,0,0,12.00001162,-0.800006449,1,0,0,0,0,0,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.882,,,,,,,,,,,,,,,,,,,,,,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4357,-63.99998951,-25.60000682,1,0,0,response5disk,,2,6.400011539,-1.600006461,1,0,0,rectangle,6.400011539,-1.600006461,1,0,0,6.400011539,-1.600006461,1,0,0,0,1,1,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.3059,,,,,,,,,,,,,,,,,,,,,,610365491336a1f2766ae033,610369a0b6b0254c35327397,2021-07-30_03h53.59.485,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,789,-44.79998922,-57.6000073,1,0,0,response5disk,,3,-11.99998873,-2.400006473,1,0,0,rectangle,-11.99998873,-2.400006473,1,0,0,-11.99998873,-2.400006473,1,0,0,0,2,2,93,1,,,,,,,,
