key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5997,space,9.748,space,18.651,space,8.89,space,1.9666,space,3.1623,37,PF,24.90234375,46.77734375,1,0,0,response1disk_5,7,6.254,-4.87109375,-4.4296875,1,0,0,rectangle_8,-4.87109375,-4.4296875,1,0,0,-4.87109375,-4.4296875,1,0,0,0,0,0,1,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,26.30859375,-51.44140625,1,0,0,response3disk_5,4,3.0157,-7.1328125,-4.484375,1,0,0,rectangle_8,46.296875,26.890625,1,0,0,-1.0625,0.01953125,1,0,0,0,1,1,4,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.6993,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,22.77734375,-53.33203125,1,0,0,response3disk_5,4,4.6179,-5.05859375,3.03515625,1,0,0,rectangle_8,-5.05859375,3.03515625,1,0,0,-5.05859375,3.03515625,1,0,0,0,2,2,3,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,-43.0234375,-22.9296875,1,0,0,response5disk_5,2,3.6978,-8.47265625,-0.40625,1,0,0,rectangle_8,-8.47265625,-0.40625,1,0,0,-8.47265625,-0.40625,1,0,0,0,3,3,6,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,43.45703125,-29.1796875,1,0,0,response3disk_5,5,3.5316,13.8671875,-7.5390625,1,0,0,rectangle_8,48.33984375,23.10546875,1,0,0,-2.87890625,-2.09765625,1,0,0,0,4,4,5,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.9336,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,PF,-28.3046875,-40.26953125,1,0,0,response5disk_5,3,1.8498,1.140625,1.66015625,1,0,0,rectangle_8,1.140625,1.66015625,1,0,0,1.140625,1.66015625,1,0,0,0,5,5,2,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,-43.07421875,-25.1796875,1,0,0,response5disk_5,2,1.7703,-4.42578125,-4.828125,1,0,0,rectangle_8,-4.42578125,-4.828125,1,0,0,-4.42578125,-4.828125,1,0,0,0,6,6,0,1,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1331,,,,,,,,,,,,,,,,,,,,,,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.5648,1122,24.87890625,-53.078125,1,0,0,response3disk,,4,2.12890625,1.0859375,1,0,0,rectangle,2.12890625,1.0859375,1,0,0,2.12890625,1.0859375,1,0,0,0,0,0,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.4313,,,,,,,,,,,,,,,,,,,,,,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4158,48.17578125,-32.1484375,1,0,0,response3disk,,5,-4.0078125,-0.6328125,1,0,0,rectangle,-4.0078125,-0.6328125,1,0,0,-4.0078125,-0.6328125,1,0,0,0,1,1,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5183,,,,,,,,,,,,,,,,,,,,,,6103654d81de79ade4dba583,610369b661c29bdef29b06c4,2021-07-29_22h54.37.254,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3580,27.3671875,-49.28125,1,0,0,response3disk,,4,3.63671875,-3.75,1,0,0,rectangle,3.63671875,-3.75,1,0,0,3.63671875,-3.75,1,0,0,0,2,2,91,1,,,,,,,,
