key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.149,space,2.572,space,9.094,space,5.547,space,0.867,space,3.159,41,PF,47,78,1,0,0,response1disk_5,7,6.782,14,16,1,0,0,rectangle_8,14,16,1,0,0,14,16,1,0,0,0,0,0,6,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,69,-51,1,0,0,response3disk_5,5,5.217,11,1,1,0,0,rectangle_8,51,94,1,0,0,16,-9,1,0,0,0,1,1,0,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.266,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,-91,-53,1,0,0,response5disk_5,2,4.198,18,6,1,0,0,rectangle_8,18,6,1,0,0,18,6,1,0,0,0,2,2,4,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,PF,-26,74,1,0,0,response7disk_5,0,2.617,-12,3,1,0,0,rectangle_8,-12,3,1,0,0,-12,3,1,0,0,0,3,3,2,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,FF,-60,32,1,0,0,response7disk_5,1,3.932,-4,-3,1,0,0,rectangle_8,24,80,1,0,0,10,-9,1,0,0,0,4,4,3,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.684,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,63,-30,1,0,0,response3disk_5,5,3.718,-4,5,1,0,0,rectangle_8,-4,5,1,0,0,-4,5,1,0,0,0,5,5,1,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,FF,-73,-44,1,0,0,response5disk_5,2,4.284,0,-3,1,0,0,rectangle_8,0,-3,1,0,0,0,-3,1,0,0,0,6,6,5,1,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.867,,,,,,,,,,,,,,,,,,,,,,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.19,2034,-43,-84,1,0,0,response5disk,,3,12,4,1,0,0,rectangle,12,4,1,0,0,12,4,1,0,0,0,0,0,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.417,,,,,,,,,,,,,,,,,,,,,,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3323,36,60,1,0,0,response1disk,,7,2,-3,1,0,0,rectangle,2,-3,1,0,0,2,-3,1,0,0,0,1,1,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,61036710e1eb1d931b7a34a6,61036e70db302659b0568e5b,2021-07-29_23h14.24.866,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2059,56,18,1,0,0,response1disk,,6,3,-9,1,0,0,rectangle,3,-9,1,0,0,3,-9,1,0,0,0,2,2,142,1,,,,,,,,
