key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6921,space,15.1348,space,46.7854,space,7.1767,space,3.1393,space,4.7932,16,PF,-57.46069336,-136.6706543,1,0,0,response5disk_5,3,17.0189,-2.098999023,5.655212402,1,0,0,rectangle_8,-2.098999023,5.655212402,1,0,0,-2.098999023,5.655212402,1,0,0,0,0,0,1,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,PF,-126.2514648,-48.5534668,1,0,0,response5disk_5,2,4.3351,-34.23693848,-13.62298584,1,0,0,rectangle_8,51.90014648,124.3956299,1,0,0,-2.100952148,3.799377441,1,0,0,0,1,1,2,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.8052,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,-46.85229492,-107.779541,1,0,0,response5disk_5,3,2.8333,-3.609619141,1.837585449,1,0,0,rectangle_8,-3.609619141,1.837585449,1,0,0,-3.609619141,1.837585449,1,0,0,0,2,2,0,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,43.89868164,106.3516235,1,0,0,response1disk_5,7,2.501,-4.064086914,-9.750549316,1,0,0,rectangle_8,-4.064086914,-9.750549316,1,0,0,-4.064086914,-9.750549316,1,0,0,0,3,3,4,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,PF,118.7008057,52.1463623,1,0,0,response1disk_5,6,3.3377,-2.393676758,-6.022705078,1,0,0,rectangle_8,72.67443848,139.6604004,1,0,0,-5.427368164,-13.05078125,1,0,0,0,4,4,6,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.683,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,FF,47.09277344,142.7087402,1,0,0,response1disk_5,7,6.3558,-1.474243164,7.499511719,1,0,0,rectangle_8,-1.474243164,7.499511719,1,0,0,-1.474243164,7.499511719,1,0,0,0,5,5,5,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-54.6081543,-90.71081543,1,0,0,response5disk_5,3,2.3495,-17.46826172,-6.69354248,1,0,0,rectangle_8,-17.46826172,-6.69354248,1,0,0,-17.46826172,-6.69354248,1,0,0,0,6,6,3,1,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1869,,,,,,,,,,,,,,,,,,,,,,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6697,2116,50.77148438,89.46765137,1,0,0,response1disk,,7,1.173095703,-0.146240234,1,0,0,rectangle,1.173095703,-0.146240234,1,0,0,1.173095703,-0.146240234,1,0,0,0,0,0,91,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9042,,,,,,,,,,,,,,,,,,,,,,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4369,-64.70776367,109.9747925,1,0,0,response7disk,,0,-5.149291992,-6.700622559,1,0,0,rectangle,-5.149291992,-6.700622559,1,0,0,-5.149291992,-6.700622559,1,0,0,0,1,1,34,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6512,,,,,,,,,,,,,,,,,,,,,,6103678437cbd80e381c5863,61036ce3a4a62b80b2de0e71,2021-07-29_20h08.01.918,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,212,105.0029297,35.22570801,1,0,0,response1disk,,6,3.119506836,3.475952148,1,0,0,rectangle,3.119506836,3.475952148,1,0,0,3.119506836,3.475952148,1,0,0,0,2,2,79,1,,,,,,,,
