key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7339,space,3.3978,space,10.8116,space,3.1587,space,0.8282,space,4.269,9,PF,40,97,1,0,0,response1disk_5,7,7.5033,-2,4,1,0,0,rectangle_8,-2,4,1,0,0,-2,4,1,0,0,0,0,0,1,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,79,-42,1,0,0,response3disk_5,5,7.7359,9,7,1,0,0,rectangle_8,-38,98,1,0,0,1,-3,1,0,0,0,1,1,6,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,4.7124,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,FF,38,88,1,0,0,response1disk_5,7,1.5181,-6,-3,1,0,0,rectangle_8,-6,-3,1,0,0,-6,-3,1,0,0,0,2,2,5,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,FF,33,-96,1,0,0,response3disk_5,4,2.316,-10,-2,1,0,0,rectangle_8,-10,-2,1,0,0,-10,-2,1,0,0,0,3,3,3,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,97,28,1,0,0,response1disk_5,6,1.7135,30,0,1,0,0,rectangle_8,-33,96,1,0,0,12,-14,1,0,0,0,4,4,4,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.6474,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,50,95,1,0,0,response1disk_5,7,1.2731,1,11,1,0,0,rectangle_8,1,11,1,0,0,1,11,1,0,0,0,5,5,2,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,FF,91,-28,1,0,0,response3disk_5,5,1.5154,22,-10,1,0,0,rectangle_8,22,-10,1,0,0,22,-10,1,0,0,0,6,6,0,1,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3269,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6168,2970,37,103,1,0,0,response1disk,,7,-4,-5,1,0,0,rectangle,-4,-5,1,0,0,-4,-5,1,0,0,0,0,0,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7007,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1928,69,-18,1,0,0,response3disk,,5,0,-3,1,0,0,rectangle,0,-3,1,0,0,0,-3,1,0,0,0,1,1,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1791,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1179,80,24,1,0,0,response1disk,,6,20,0,1,0,0,rectangle,20,0,1,0,0,20,0,1,0,0,0,2,2,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5496,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1402,29,-74,1,0,0,response3disk,,4,-1,1,1,0,0,rectangle,-1,1,1,0,0,-1,1,1,0,0,0,3,3,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6782,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,533,-82,-40,1,0,0,response5disk,,2,-16,-9,1,0,0,rectangle,-16,-9,1,0,0,-16,-9,1,0,0,0,4,4,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7618,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,601,87,30,1,0,0,response1disk,,6,-6,-4,1,0,0,rectangle,-6,-4,1,0,0,-6,-4,1,0,0,0,5,5,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1428,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4103,-66,-36,1,0,0,response5disk,,2,-11,0,1,0,0,rectangle,-11,0,1,0,0,-11,0,1,0,0,0,6,6,33,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.932,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2766,37,62,1,0,0,response1disk,,7,-2,-5,1,0,0,rectangle,-2,-5,1,0,0,-2,-5,1,0,0,0,7,7,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9973,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,751,-36,-104,1,0,0,response5disk,,3,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,-1,-1,1,0,0,0,8,8,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1982,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1900,-82,-48,1,0,0,response5disk,,2,-12,-2,1,0,0,rectangle,-83,-47,1,0,0,-16,-4,1,0,0,0,9,9,76,1,,response5disk_3,TRUE,2,5,"[99,306,261,303,200,28,10,146,78,41,276,216,72,272,152,105,17,84,268,46]",1.7803,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8523,,,,,,,,,,,,,,,,,,,,,,610367eb9e35c754c9add89b,61036b6e550c6cd89e969d67,2021-07-29_20h01.46.995,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3716,102,-43,1,0,0,response3disk,,5,15,0,1,0,0,rectangle,15,0,1,0,0,15,0,1,0,0,0,10,10,89,1,,,,,,,,
