key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.9171,space,7.17,space,21.7795,space,5.3951,space,0.5832,space,2.8789,107,FF,96.80001289,43.19996979,1,0,0,response1disk_5,6,4.5492,-12.79998875,-6.4373E-06,1,0,0,rectangle_8,-12.79998875,-6.4373E-06,1,0,0,-12.79998875,-6.4373E-06,1,0,0,0,0,0,0,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,92.80001283,-46.40000713,1,0,0,response3disk_5,5,4.6486,12.00001162,-4.800006509,1,0,0,rectangle_8,51.20001221,111.1999708,1,0,0,2.40001148,3.19999361,1,0,0,0,1,1,2,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.5331,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,50.4000122,89.5999949,1,0,0,response1disk_5,7,3.0989,1.600060296,7.999993682,1,0,0,rectangle_8,1.600060296,7.999993682,1,0,0,1.600060296,7.999993682,1,0,0,0,2,2,6,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,FF,-91.99998993,-46.40000713,1,0,0,response5disk_5,2,1.8162,5.600060356,5.599993646,1,0,0,rectangle_8,5.600060356,5.599993646,1,0,0,5.600060356,5.599993646,1,0,0,0,3,3,5,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,PF,92.00001281,-28.00000685,1,0,0,response3disk_5,5,1.5995,1.14441E-05,-6.4373E-06,1,0,0,rectangle_8,42.40001208,84.79999483,1,0,0,-9.599988699,-4.800006509,1,0,0,0,4,4,1,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.549,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,30.4000119,-93.60005666,1,0,0,response3disk_5,4,2.3487,3.200011492,7.19999367,1,0,0,rectangle_8,3.200011492,7.19999367,1,0,0,3.200011492,7.19999367,1,0,0,0,5,5,4,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,FF,33.60006077,-102.400008,1,0,0,response3disk_5,4,3.1155,-12.79998875,5.599993646,1,0,0,rectangle_8,-12.79998875,5.599993646,1,0,0,-12.79998875,5.599993646,1,0,0,0,6,6,3,1,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.5148,,,,,,,,,,,,,,,,,,,,,,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6731,2598,91.2000128,-32.00000691,1,0,0,response3disk,,5,1.600060296,-0.800006449,1,0,0,rectangle,1.600060296,-0.800006449,1,0,0,1.600060296,-0.800006449,1,0,0,0,0,0,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7161,,,,,,,,,,,,,,,,,,,,,,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,755,44.0000121,103.9999951,1,0,0,response1disk,,7,3.200011492,-3.200006485,1,0,0,rectangle,3.200011492,-3.200006485,1,0,0,3.200011492,-3.200006485,1,0,0,0,1,1,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0485,,,,,,,,,,,,,,,,,,,,,,61036a2dc1a5986f00de0513,61036e17490b697dae7a8406,2021-07-29_22h14.02.565,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,324,40.80001205,-92.00000781,1,0,0,response3disk,,4,12.00001162,1.599993587,1,0,0,rectangle,12.00001162,1.599993587,1,0,0,12.00001162,1.599993587,1,0,0,0,2,2,151,1,,,,,,,,
