key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0779,space,1.6743,space,6.3182,space,2.8983,space,1.9399,space,2.484,152,PF,87.33335501,29.99999017,1,0,0,response1disk_5,6,9.8357,0.66668576,-2.000010788,1,0,0,rectangle_8,0.66668576,-2.000010788,1,0,0,0.66668576,-2.000010788,1,0,0,0,0,0,4,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,46.00002044,88.66665858,1,0,0,response1disk_5,7,3.4005,-2.666606983,-14.00001115,1,0,0,rectangle_8,-41.33331549,89.33330492,1,0,0,8.000019312,-3.333344162,1,0,0,0,1,1,3,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.6007,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,FF,30.00001997,73.99999148,1,0,0,response1disk_5,7,1.1833,8.666685998,1.999989331,1,0,0,rectangle_8,8.666685998,1.999989331,1,0,0,8.666685998,1.999989331,1,0,0,0,2,2,0,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,PF,-33.99998194,-90.6666801,1,0,0,response5disk_5,3,1.0834,-1.999980986,11.99998963,1,0,0,rectangle_8,-1.999980986,11.99998963,1,0,0,-1.999980986,11.99998963,1,0,0,0,3,3,1,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,PF,66.66668773,-27.33334488,1,0,0,response3disk_5,5,2.883,-11.99998128,-5.333344221,1,0,0,rectangle_8,-39.99998212,90.66665864,1,0,0,-7.999981165,-1.333344102,1,0,0,0,4,4,2,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.7666,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,-60.66660871,29.33330313,1,0,0,response7disk_5,1,1.1667,-9.333314538,3.333322704,1,0,0,rectangle_8,-9.333314538,3.333322704,1,0,0,-9.333314538,3.333322704,1,0,0,0,5,5,5,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,36.00002015,83.33330474,1,0,0,response1disk_5,7,0.8498,-11.3333146,4.666656077,1,0,0,rectangle_8,-11.3333146,4.666656077,1,0,0,-11.3333146,4.666656077,1,0,0,0,6,6,6,1,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0495,,,,,,,,,,,,,,,,,,,,,,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6112,384,88.0000217,53.99999088,1,0,0,response1disk,,6,-9.333314538,-7.333344281,1,0,0,rectangle,-9.333314538,-7.333344281,1,0,0,-9.333314538,-7.333344281,1,0,0,0,0,0,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.15,,,,,,,,,,,,,,,,,,,,,,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2498,48.66668719,-81.33334649,1,0,0,response3disk,,4,4.666685879,7.333322823,1,0,0,rectangle,4.666685879,7.333322823,1,0,0,4.666685879,7.333322823,1,0,0,0,1,1,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.433,,,,,,,,,,,,,,,,,,,,,,61036bc11cbe328e09cf25d3,61036e3ce86cce9c8acb7dec,2021-07-29_22h13.32.181,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1313,-79.99998331,34.66665697,1,0,0,response7disk,,1,-0.666606923,2.666656017,1,0,0,rectangle,-0.666606923,2.666656017,1,0,0,-0.666606923,2.666656017,1,0,0,0,2,2,71,1,,,,,,,,
