"","firstColour","secondColour","value"
"1","#E088A1","#E088A1",0.375
"2","#E088A1","#C4577A",2.35714285714286
"3","#E088A1","#B06079",2.35714285714286
"4","#E088A1","#9C1C53",3
"5","#E088A1","#7C3D4E",2.625
"6","#E088A1","#7D0B45",3.2
"7","#E088A1","#52253C",3.07142857142857
"8","#E088A1","#B28AB7",2.03846153846154
"9","#E088A1","#8F5AA8",3.07142857142857
"10","#E088A1","#8B5F92",3.41666666666667
"11","#E088A1","#642B7C",4
"12","#E088A1","#5D4263",3.27777777777778
"13","#E088A1","#430F59",4
"14","#E088A1","#331F3B",4
"15","#E088A1","#9796C0",4.25
"16","#E088A1","#7171C9",4.1
"17","#E088A1","#716B92",3.5
"18","#E088A1","#39319E",5.57142857142857
"19","#E088A1","#4E486C",3.44444444444444
"20","#E088A1","#261D6E",5.33333333333333
"21","#E088A1","#171639",5.65
"22","#E088A1","#86A2C9",4.0625
"23","#E088A1","#427AC4",4.25
"24","#E088A1","#5F7AA7",4.5
"25","#E088A1","#0C4FA2",4.25
"26","#E088A1","#3F597A",4.4
"27","#E088A1","#022C88",4.33333333333333
"28","#E088A1","#032040",5.55
"29","#E088A1","#73B7C3",3
"30","#E088A1","#3394B7",4.94444444444444
"31","#E088A1","#5891A2",4.1875
"32","#E088A1","#02529A",5.75
"33","#E088A1","#2F2874",4.41666666666667
"34","#E088A1","#03406F",3.25
"35","#E088A1","#09384C",4.7
"36","#E088A1","#8DCFC1",3.42857142857143
"37","#E088A1","#41A79A",4.34615384615385
"38","#E088A1","#68A899",3.78571428571429
"39","#E088A1","#086E79",3.94444444444444
"40","#E088A1","#367467",5.41666666666667
"41","#E088A1","#034E49",5.6
"42","#E088A1","#0A3B38",5.375
"43","#E088A1","#A3E2AC",3.88888888888889
"44","#E088A1","#5FC16E",5.16666666666667
"45","#E088A1","#83B37F",4.14285714285714
"46","#E088A1","#40A144",5.25
"47","#E088A1","#487F55",5.1
"48","#E088A1","#207427",5.83333333333333
"49","#E088A1","#163D1F",4.75
"50","#E088A1","#D8E26A",3.625
"51","#E088A1","#C5DD24",3.61111111111111
"52","#E088A1","#AEBE5A",4.75
"53","#E088A1","#AAC901",5.375
"54","#E088A1","#84932A",4.5
"55","#E088A1","#758E00",4.31818181818182
"56","#E088A1","#445507",5.8125
"57","#E088A1","#FBEC77",4.21428571428571
"58","#E088A1","#FCDD2A",3.92857142857143
"59","#E088A1","#D3BE51",5.125
"60","#E088A1","#F4D000",4.3
"61","#E088A1","#AF972D",4.64285714285714
"62","#E088A1","#AA8F02",5
"63","#E088A1","#685A14",4.92857142857143
"64","#E088A1","#FAC88D",3.3
"65","#E088A1","#FBA628",3.66666666666667
"66","#E088A1","#E49A5B",3.3
"67","#E088A1","#FF8F00",3.83333333333333
"68","#E088A1","#AE783C",3.21428571428571
"69","#E088A1","#AC6401",3.5
"70","#E088A1","#76450B",5.61111111111111
"71","#E088A1","#FAAF99",2.71428571428571
"72","#E088A1","#FB702E",3.35714285714286
"73","#E088A1","#E67E72",2.125
"74","#E088A1","#E83406",3.14285714285714
"75","#E088A1","#A25739",3.54166666666667
"76","#E088A1","#A51A01",2.625
"77","#E088A1","#782918",3.58333333333333
"78","#E088A1","#F699A1",0.611111111111111
"79","#E088A1","#E26164",1.41666666666667
"80","#E088A1","#D2797D",2.78571428571429
"81","#E088A1","#DA0B27",3.5
"82","#E088A1","#96484B",2.29166666666667
"83","#E088A1","#9B081A",2.85
"84","#E088A1","#591D1F",3.3125
"85","#E088A1","#010300",5.1
"86","#E088A1","#293028",6.25
"87","#E088A1","#595F51",3.90909090909091
"88","#E088A1","#5D6355",5.5
"89","#E088A1","#7E8274",4.8
"90","#E088A1","#9DA193",4.41666666666667
"91","#E088A1","#B4BAAC",4.63636363636364
"92","#E088A1","#D8DACD",3.8
"93","#E088A1","#F6F7F1",4.08333333333333
"94","#C4577A","#C4577A",1.58333333333333
"95","#C4577A","#B06079",1.05
"96","#C4577A","#9C1C53",1.65
"97","#C4577A","#7C3D4E",2.625
"98","#C4577A","#7D0B45",2.17857142857143
"99","#C4577A","#52253C",3.3125
"100","#C4577A","#B28AB7",3.25
"101","#C4577A","#8F5AA8",3.22222222222222
"102","#C4577A","#8B5F92",3.14285714285714
"103","#C4577A","#642B7C",3.14285714285714
"104","#C4577A","#5D4263",3.25
"105","#C4577A","#430F59",3.25
"106","#C4577A","#331F3B",3.61111111111111
"107","#C4577A","#9796C0",3.33333333333333
"108","#C4577A","#7171C9",4.08333333333333
