"#010300","#022C88","#02529A","#032040","#03406F","#034E49","#086E79","#09384C","#0A3B38","#0C4FA2","#163D1F","#171639","#207427","#261D6E","#293028","#2F2874","#331F3B","#3394B7","#367467","#39319E","#3F597A","#40A144","#41A79A","#427AC4","#430F59","#445507","#487F55","#4E486C","#52253C","#5891A2","#591D1F","#595F51","#5D4263","#5D6355","#5F7AA7","#5FC16E","#642B7C","#685A14","#68A899","#716B92","#7171C9","#73B7C3","#758E00","#76450B","#782918","#7C3D4E","#7D0B45","#7E8274","#83B37F","#84932A","#86A2C9","#8B5F92","#8DCFC1","#8F5AA8","#96484B","#9796C0","#9B081A","#9C1C53","#9DA193","#A25739","#A3E2AC","#A51A01","#AA8F02","#AAC901","#AC6401","#AE783C","#AEBE5A","#AF972D","#B06079","#B28AB7","#B4BAAC","#C4577A","#C5DD24","#D2797D","#D3BE51","#D8DACD","#D8E26A","#DA0B27","#E088A1","#E26164","#E49A5B","#E67E72","#E83406","#F4D000","#F699A1","#F6F7F1","#FAAF99","#FAC88D","#FB702E","#FBA628","#FBEC77","#FCDD2A","#FF8F00"
"#010300",0,4.3,4.125,3.28571428571429,3.6,3.83333333333333,3.85,2.72222222222222,3.4375,3.8,4.61111111111111,1.41666666666667,5.33333333333333,3.75,1.55555555555556,3.90909090909091,2.78571428571429,5.21428571428571,6.09090909090909,5.25,3.83333333333333,6.125,5.85,5.8,4.4375,4.58333333333333,3.42857142857143,4.3125,4.16666666666667,5.9375,4.26666666666667,2.3,4.75,3.19230769230769,5.33333333333333,5.77272727272727,5.1,4.65384615384615,6.42857142857143,4.35714285714286,4.81818181818182,5.45,5.66666666666667,4.79166666666667,4.38461538461539,5.75,4.95454545454545,5.08333333333333,5.66666666666667,5.16666666666667,5.75,5.14285714285714,6.16666666666667,5.66666666666667,6.5,5.7,6.6,5.45,4.4375,4.6,5.30769230769231,6.875,6.07142857142857,5.75,6.33333333333333,4.3125,5.875,4.57142857142857,5.83333333333333,6,4.57142857142857,5.7,5.44444444444444,6.25,5.61111111111111,6.25,6.33333333333333,5.59090909090909,5.1,6,5.64285714285714,5.5,5.85,6.55555555555556,6,6.25,6.4,6.07692307692308,6.6,6.27777777777778,6.28571428571429,5.1,6
"#022C88",4.3,0.227272727272727,1,1.5,0.916666666666667,2.83333333333333,2.75,1.625,3,1.64285714285714,3.64285714285714,2.4,4.875,0.916666666666667,3.61111111111111,1.5625,3.125,2,3.6,1.08333333333333,2.27272727272727,3.75,3,1.92857142857143,3.9375,4.75,4.5,3.25,4.41666666666667,2.8125,4.5,4.77777777777778,4,4.8,2.14285714285714,4.55555555555556,3.55,4.77777777777778,3.35,3.45454545454545,3,2.375,5.25,6.14285714285714,5.53571428571429,4.41666666666667,4.42857142857143,4.92857142857143,4.2,4.71428571428571,2.42857142857143,2.92857142857143,2.57142857142857,2.9,4.83333333333333,2.28571428571429,5.6875,5,5.375,4.33333333333333,3.66666666666667,5.94444444444444,4.7,4.5,5.4,6.25,4.57142857142857,5.375,5.1875,4.5,4.875,4.9,5.83333333333333,5.28571428571429,5.5,5.4375,4.25,6.1,4.33333333333333,5.57142857142857,5.95,4.94444444444444,5.65625,5.80769230769231,5.3,5.58333333333333,5.42857142857143,5.5,6.375,5.08333333333333,5.2,5.08333333333333,5.61111111111111
"#02529A",4.125,1,1.15,2.31818181818182,1.4375,2.5,2.15384615384615,2.875,2.71428571428571,0.444444444444444,3.83333333333333,2.41666666666667,4.58333333333333,1.54545454545455,4.1875,2.25,3.5,2.5,2.7,1.71428571428571,1.875,4.75,2.875,2.75,3.31818181818182,4.5,3.54545454545455,3.27777777777778,4.75,3.08333333333333,4.61111111111111,4.1,3.8125,3.95833333333333,3,3.27777777777778,3.88888888888889,5.75,2.625,3,2.4375,2.5,4.41666666666667,5.13636363636364,4.2,4.78571428571429,4.5,4.86666666666667,3.75,3.875,2.55555555555556,3.45833333333333,2.71428571428571,4.1875,4.8125,3.21428571428571,5.5,5.22222222222222,4.66666666666667,4,3.5,5,5.33333333333333,5.4,6,5.5,4.83333333333333,6,5.14285714285714,4.35714285714286,4,4.04166666666667,5.16666666666667,5.08333333333333,4.3125,5.09090909090909,4.9,5.64285714285714,5.75,5.66666666666667,3.83333333333333,5.08333333333333,5.76923076923077,6,5.8,5.21428571428571,4.875,5.16666666666667,5.85294117647059,6.125,4.83333333333333,6.33333333333333,3.875
"#032040",3.28571428571429,1.5,2.31818181818182,1.25,1.125,2.71428571428571,2.65384615384615,0.954545454545455,1.5,2.91666666666667,2.85,2.2,3.93333333333333,1.22222222222222,1.5625,1.25,1.75,3.61111111111111,3,2,1.8,4.75,3.125,3.375,2.81818181818182,3.7,4,2.05,3.53846153846154,2.78571428571429,4.35,3.5,3.1875,3.85714285714286,3.125,4.4,3.65384615384615,4.61111111111111,3.63636363636364,3.1875,3.02631578947368,3.75,3.5,5.42857142857143,4.125,4.6,3.58333333333333,5,3.25,3.875,2.95454545454545,3.94444444444444,3.25,4.6,4.21428571428571,4.07142857142857,4.75,4.5,3.875,5.30769230769231,4.6,5.54545454545455,5,4.5625,5.66666666666667,5.85714285714286,5.8,5.25,4.21428571428571,3.33333333333333,4.33333333333333,6.5,5,5.72222222222222,5.44444444444444,4.25,5.41666666666667,5.875,5.55,5.8,5.5,6,6.3,6.1875,5.57142857142857,5.36363636363636,6,5.72727272727273,5.80769230769231,5.35,5.375,4.8,5.625
"#03406F",3.6,0.916666666666667,1.4375,1.125,1.0625,2.64285714285714,2.83333333333333,1.86363636363636,2,1.64285714285714,3.1,2.4,3.42307692307692,1,3.58333333333333,1.3,2,2.3,2.6875,2.1,1.7,4.65,2.7,2.1,3.92857142857143,3.91666666666667,3.25,1.625,4.7,2.75,3.75,3.72222222222222,3.16666666666667,4.125,2.6,4.25,2.625,3.75,3.44444444444444,2.90909090909091,1.8125,2.69230769230769,5,6,4.5,4.375,4.55,4.8,4,5.07142857142857,2.08333333333333,3.75,3.07142857142857,3.5,4.83333333333333,3.33333333333333,5,4.57142857142857,5.42857142857143,3.875,4.66666666666667,5.71428571428571,5.16666666666667,4.77777777777778,5.71428571428571,5.55555555555556,4.72727272727273,5.5,5.2,4.5,4.20833333333333,5.54545454545455,5.625,4.875,5.2,5.22222222222222,5.5,5.27777777777778,3.25,5.2,4.27777777777778,4.5,5.83333333333333,5.55555555555556,5.81818181818182,4.3,5.125,6,5.78571428571429,5.38888888888889,5.57142857142857,4.75,5.77777777777778
"#034E49",3.83333333333333,2.83333333333333,2.5,2.71428571428571,2.64285714285714,1.28571428571429,0.5,2.11111111111111,0.5,1.94444444444444,2.21428571428571,3.31818181818182,1.625,3.8,1.83333333333333,3.33333333333333,3.16666666666667,2.42857142857143,1.31818181818182,3.16666666666667,3,2.27272727272727,2.5,3.125,4.1,2.25,2.5,3.4375,4.11538461538461,3,4.8,1.92857142857143,3.72727272727273,2.45833333333333,2.7,2.65384615384615,3.66666666666667,3.5,2.5,4.25,4.0625,3.35,3.2,4.35714285714286,4.5,5,5,3.6875,2.625,2.7,4,3.94444444444444,3.375,5.57142857142857,3.77272727272727,4.44444444444444,4.16666666666667,5.45833333333333,3.8125,4.8,3.5,4.76923076923077,4.42857142857143,4,4.9375,5.14285714285714,3,4.7,4.13636363636364,6,3.09090909090909,5.16666666666667,3.35,5.5,4.94444444444444,5.58333333333333,3.15,5.59090909090909,5.6,5.66666666666667,5.27272727272727,5.7,6.35714285714286,5.16666666666667,5.5625,5.66666666666667,6,4.125,4.55555555555556,5.33333333333333,5.4375,4.95833333333333,4
"#086E79",3.85,2.75,2.15384615384615,2.65384615384615,2.83333333333333,0.5,0.636363636363636,1.83333333333333,3.14285714285714,1.75,4,3.33333333333333,3,2.61111111111111,3.6875,2.91666666666667,3.75,2,1.41666666666667,2.625,3.07142857142857,3.6,2.55555555555556,2.05555555555556,3.8,3.75,3.6,3.55555555555556,4.875,2.27777777777778,4.9375,3.5,4.55,3.66666666666667,3.33333333333333,2.5,4.125,3.5,2.5,3.41666666666667,3.5,2.21428571428571,3.91666666666667,5.375,5.16666666666667,4.85714285714286,3.3,3.58333333333333,2.875,3.91666666666667,3.13636363636364,3.75,2.21428571428571,4.27777777777778,4.64285714285714,3.25,4.8,5.45454545454545,3.33333333333333,4.9,2.6,4.14285714285714,5,3.96153846153846,5.7,4.78571428571429,3.95833333333333,4.66666666666667,3.9375,3.94444444444444,3.375,4.25,4.5,5.28571428571429,5.25,5.1,3.27777777777778,5.1875,3.94444444444444,5.3,4.5,5.5,6,5.04166666666667,5.90625,4.2,5.125,4.05555555555556,6.27777777777778,5.3125,4.72222222222222,4.66666666666667,4.25
"#09384C",2.72222222222222,1.625,2.875,0.954545454545455,1.86363636363636,2.11111111111111,1.83333333333333,0,1.04166666666667,2.64285714285714,2.25,1.5,3.33333333333333,2.71428571428571,3,1.33333333333333,3.66666666666667,2.41666666666667,2.22727272727273,2.28571428571429,1.8125,3.83333333333333,2.125,2.45833333333333,3.35,3.21428571428571,3.5,3,4.4,3.28571428571429,4.16666666666667,3.85714285714286,4.42857142857143,3.14285714285714,3.3,2.75,3.22222222222222,4.71428571428571,2.64285714285714,4,3.66666666666667,2.3125,4.125,4.95454545454545,4.5,4.22727272727273,4,3.81818181818182,3.32142857142857,3.58333333333333,2.55555555555556,4.25,3.0625,4.75,4.61111111111111,3.5,5.41666666666667,4.75,3.71428571428571,5,3.16666666666667,5.14285714285714,5.3,4.38888888888889,5.75,4.75,4.45833333333333,4.9,5.375,4.7,4.875,4.5625,5.33333333333333,5.57142857142857,5.10714285714286,3.8,4.95,4.08333333333333,4.7,6.3,4.625,5.05,4.375,5.8,5.6875,3.9,5.41666666666667,5.22727272727273,4.71428571428571,5.9,5.92857142857143,5.38888888888889,5.5
"#0A3B38",3.4375,3,2.71428571428571,1.5,2,0.5,3.14285714285714,1.04166666666667,0.318181818181818,3.05555555555556,0.583333333333333,2.25,2.31818181818182,3.18181818181818,2.71428571428571,3.27777777777778,3.75,3.4,2,3.22727272727273,2.2,2.4375,3.375,3.42857142857143,4.75,2.5,2.61111111111111,4.25,4.75,3.63333333333333,4.27272727272727,2.75,4.85714285714286,2.4375,3.42307692307692,2.55,5.1,2.75,1.6,3.83333333333333,4.15,2.7,2.83333333333333,4.75,5.46153846153846,4.42857142857143,4.5625,3.5,2.7,2.61111111111111,3.88888888888889,4.41666666666667,2.5,4.88888888888889,5.14285714285714,4.95454545454545,5.08333333333333,4.5,3.40909090909091,4.38888888888889,2.83333333333333,5.4,4.5,3.1875,4.83333333333333,4.10714285714286,3.11111111111111,5.75,4.8,4.375,3.5,5.33333333333333,3.55,5.625,4.90909090909091,5.22727272727273,5.16666666666667,6.3,5.375,6.16666666666667,5.5,6.15,6.0625,4.1,5.83333333333333,5.64285714285714,5.75,5.91666666666667,6,5.66666666666667,4.16666666666667,4.55555555555556,5.83333333333333
"#0C4FA2",3.8,1.64285714285714,0.444444444444444,2.91666666666667,1.64285714285714,1.94444444444444,1.75,2.64285714285714,3.05555555555556,0.125,4.875,2.09090909090909,4,2.75,4.33333333333333,2.3,3,2.4375,4.125,1.78571428571429,2.5,4.7,2,2.2,3.63636363636364,4.91666666666667,4.58333333333333,2.5,4.23076923076923,2.33333333333333,4.22222222222222,4.16666666666667,3.15,4.33333333333333,2.33333333333333,4.17647058823529,3.16666666666667,5,3.71428571428571,3.4,3.4,3.07142857142857,4.22727272727273,5.125,4.44444444444444,4.64285714285714,5,5.14285714285714,3.83333333333333,5.41666666666667,3,3.77777777777778,2.57142857142857,4.83333333333333,5.25,1.83333333333333,4.91666666666667,4.86363636363636,5.25,5.3,3.75,6.14285714285714,3.6,5.2,5.75,5.65,4.5,5.4375,5.18181818181818,4.3,4.4375,5.4,5.08333333333333,3.5,5.75,5.77272727272727,6,5.42857142857143,4.25,4.75,5.8125,5.25,5.72222222222222,5.53846153846154,4.92857142857143,5.4,4.54545454545455,5.66666666666667,5.38888888888889,5.75,6.07142857142857,5.0625,4.625
