"","firstColour","secondColour","value"
"1","#E088A1","#E088A1",0.4
"2","#E088A1","#C4577A",1.8
"3","#E088A1","#B06079",2.5
"4","#E088A1","#9C1C53",3.03571428571429
"5","#E088A1","#7C3D4E",3.45833333333333
"6","#E088A1","#7D0B45",3.75
"7","#E088A1","#52253C",2.8
"8","#E088A1","#B28AB7",3
"9","#E088A1","#8F5AA8",3.6
"10","#E088A1","#8B5F92",3.78571428571429
"11","#E088A1","#642B7C",5.66666666666667
"12","#E088A1","#5D4263",3.4
"13","#E088A1","#430F59",4.31818181818182
"14","#E088A1","#331F3B",4.85714285714286
"15","#E088A1","#9796C0",4.75
"16","#E088A1","#7171C9",5.14285714285714
"17","#E088A1","#716B92",3.2
"18","#E088A1","#39319E",6.1
"19","#E088A1","#4E486C",4.27272727272727
"20","#E088A1","#261D6E",6.125
"21","#E088A1","#171639",5.92857142857143
"22","#E088A1","#86A2C9",5
"23","#E088A1","#427AC4",4.88888888888889
"24","#E088A1","#5F7AA7",5.64285714285714
"25","#E088A1","#0C4FA2",5.78571428571429
"26","#E088A1","#3F597A",5.21428571428571
"27","#E088A1","#022C88",6.33333333333333
"28","#E088A1","#032040",6.4
"29","#E088A1","#73B7C3",4.28571428571429
"30","#E088A1","#3394B7",5.4375
"31","#E088A1","#5891A2",5.0625
"32","#E088A1","#02529A",6.75
"33","#E088A1","#2F2874",5.41666666666667
"34","#E088A1","#03406F",4.5
"35","#E088A1","#09384C",5.40909090909091
"36","#E088A1","#8DCFC1",5.125
"37","#E088A1","#41A79A",5.15
"38","#E088A1","#68A899",5
"39","#E088A1","#086E79",4.16666666666667
"40","#E088A1","#367467",6.28571428571429
"41","#E088A1","#034E49",6
"42","#E088A1","#0A3B38",6.2
"43","#E088A1","#A3E2AC",5.3
"44","#E088A1","#5FC16E",5.7
"45","#E088A1","#83B37F",5.1875
"46","#E088A1","#40A144",6.29166666666667
"47","#E088A1","#487F55",5.9
"48","#E088A1","#207427",6.625
"49","#E088A1","#163D1F",5.85714285714286
"50","#E088A1","#D8E26A",4.83333333333333
"51","#E088A1","#C5DD24",5.7
"52","#E088A1","#AEBE5A",6.1
"53","#E088A1","#AAC901",5.66666666666667
"54","#E088A1","#84932A",5.66666666666667
"55","#E088A1","#758E00",5.29166666666667
"56","#E088A1","#445507",6.22222222222222
"57","#E088A1","#FBEC77",6
"58","#E088A1","#FCDD2A",5.33333333333333
"59","#E088A1","#D3BE51",5.40909090909091
"60","#E088A1","#F4D000",4.95
"61","#E088A1","#AF972D",5.2
"62","#E088A1","#AA8F02",5.75
"63","#E088A1","#685A14",6.16666666666667
"64","#E088A1","#FAC88D",4.38461538461539
"65","#E088A1","#FBA628",4.94444444444444
"66","#E088A1","#E49A5B",3.375
"67","#E088A1","#FF8F00",4.75
"68","#E088A1","#AE783C",4.25
"69","#E088A1","#AC6401",6
"70","#E088A1","#76450B",6.3
"71","#E088A1","#FAAF99",3.3125
"72","#E088A1","#FB702E",4.125
"73","#E088A1","#E67E72",1.875
"74","#E088A1","#E83406",4
"75","#E088A1","#A25739",4.45454545454545
"76","#E088A1","#A51A01",3.55555555555556
"77","#E088A1","#782918",4.1875
"78","#E088A1","#F699A1",0.8
"79","#E088A1","#E26164",2.21428571428571
"80","#E088A1","#D2797D",2.1875
"81","#E088A1","#DA0B27",3.5625
"82","#E088A1","#96484B",3
"83","#E088A1","#9B081A",3.80769230769231
"84","#E088A1","#591D1F",3.83333333333333
"85","#E088A1","#010300",6.08333333333333
"86","#E088A1","#293028",6.83333333333333
"87","#E088A1","#595F51",5.20833333333333
"88","#E088A1","#5D6355",5.85714285714286
"89","#E088A1","#7E8274",6
"90","#E088A1","#9DA193",4.33333333333333
"91","#E088A1","#B4BAAC",5.25
"92","#E088A1","#D8DACD",4.33333333333333
"93","#E088A1","#F6F7F1",5.45454545454545
"94","#C4577A","#C4577A",0.5
"95","#C4577A","#B06079",0.833333333333333
"96","#C4577A","#9C1C53",2.71428571428571
"97","#C4577A","#7C3D4E",2.94444444444444
"98","#C4577A","#7D0B45",2.57142857142857
"99","#C4577A","#52253C",4.0625
"100","#C4577A","#B28AB7",3.33333333333333
"101","#C4577A","#8F5AA8",3.3
"102","#C4577A","#8B5F92",3.58333333333333
"103","#C4577A","#642B7C",4.22222222222222
"104","#C4577A","#5D4263",3.71428571428571
"105","#C4577A","#430F59",4.5
"106","#C4577A","#331F3B",3.625
"107","#C4577A","#9796C0",4.72727272727273
"108","#C4577A","#7171C9",5.25
"109","#C4577A","#716B92",4
"110","#C4577A","#39319E",5.55555555555556
"111","#C4577A","#4E486C",4.0625
"112","#C4577A","#261D6E",4.88888888888889
"113","#C4577A","#171639",5.78571428571429
"114","#C4577A","#86A2C9",5
"115","#C4577A","#427AC4",6.14285714285714
"116","#C4577A","#5F7AA7",5.75
"117","#C4577A","#0C4FA2",6
"118","#C4577A","#3F597A",6
"119","#C4577A","#022C88",6.125
"120","#C4577A","#032040",6.35714285714286
"121","#C4577A","#73B7C3",5.5
"122","#C4577A","#3394B7",6.05555555555556
"123","#C4577A","#5891A2",5.5625
"124","#C4577A","#02529A",4.77272727272727
"125","#C4577A","#2F2874",5.875
"126","#C4577A","#03406F",6.09090909090909
"127","#C4577A","#09384C",5.5
"128","#C4577A","#8DCFC1",5.875
"129","#C4577A","#41A79A",5
