"#010300","#022C88","#02529A","#032040","#03406F","#034E49","#086E79","#09384C","#0A3B38","#0C4FA2","#163D1F","#171639","#207427","#261D6E","#293028","#2F2874","#331F3B","#3394B7","#367467","#39319E","#3F597A","#40A144","#41A79A","#427AC4","#430F59","#445507","#487F55","#4E486C","#52253C","#5891A2","#591D1F","#595F51","#5D4263","#5D6355","#5F7AA7","#5FC16E","#642B7C","#685A14","#68A899","#716B92","#7171C9","#73B7C3","#758E00","#76450B","#782918","#7C3D4E","#7D0B45","#7E8274","#83B37F","#84932A","#86A2C9","#8B5F92","#8DCFC1","#8F5AA8","#96484B","#9796C0","#9B081A","#9C1C53","#9DA193","#A25739","#A3E2AC","#A51A01","#AA8F02","#AAC901","#AC6401","#AE783C","#AEBE5A","#AF972D","#B06079","#B28AB7","#B4BAAC","#C4577A","#C5DD24","#D2797D","#D3BE51","#D8DACD","#D8E26A","#DA0B27","#E088A1","#E26164","#E49A5B","#E67E72","#E83406","#F4D000","#F699A1","#F6F7F1","#FAAF99","#FAC88D","#FB702E","#FBA628","#FBEC77","#FCDD2A","#FF8F00"
"#010300",0,4.35714285714286,6.5,3.1875,4.58333333333333,5.92857142857143,5.16666666666667,4,3.375,6.125,4.65,1.75,5.75,5.6,1.83333333333333,4,3.78571428571429,5.875,6.11111111111111,5.35,4.75,6.71428571428571,6.78571428571429,6.09090909090909,5.42857142857143,5.8,4.5,4.25,3.9,6.33333333333333,3.4,5.4,5.66666666666667,3.95,5.83333333333333,6.81818181818182,5.84615384615385,4.5,6.54166666666667,4.625,5.58333333333333,6.27777777777778,5.83333333333333,5.42307692307692,4.36363636363636,5.9,6.11111111111111,5.41666666666667,5.91666666666667,5.3,6.0625,4.625,6.08333333333333,6.3,6.75,6.66666666666667,6.79166666666667,6.64285714285714,5.58333333333333,5.625,5.55555555555556,6.92857142857143,6.08333333333333,6.22727272727273,6.25,6.25,6.11111111111111,6.41666666666667,5.625,6.4375,5.83333333333333,6.83333333333333,5.66666666666667,6.77777777777778,5.77777777777778,6.07142857142857,6.5,6.27272727272727,6.38461538461539,6.5,6.875,5.83333333333333,6.13636363636364,6.64285714285714,6.16666666666667,6.14285714285714,6.53846153846154,6.1,7,6.55,6.9,5.66666666666667,6.38888888888889
"#022C88",4.35714285714286,0.0909090909090909,1.27272727272727,2.5,0.875,2.9,2.5,2.28571428571429,4.33333333333333,1.2,5,3,5.42857142857143,1.41666666666667,3.64285714285714,1.91666666666667,3.85,2.83333333333333,3.875,1.9375,2.72727272727273,4.75,2.88888888888889,2.5,4.5,5.8,4.96428571428571,3.5,5.04545454545455,4,5.5,5.125,5.375,5.25,3.25,5.45,4.54545454545455,5.36842105263158,4.5,3.8,3.61111111111111,3.5,5.9,6.15,5.58333333333333,6,5.9375,6,5.875,5.9,2.96153846153846,3.66666666666667,4.75,5.16666666666667,5,3.1875,6.1875,5.5,6,5.3,4.125,6.77777777777778,5.5,6,6.44444444444444,6.25,4.58333333333333,6.25,5.57142857142857,5.34615384615385,6.25,5.58333333333333,5.66666666666667,6,5.9375,6.41666666666667,4.85714285714286,6.72222222222222,5.4,5.92857142857143,6.21428571428571,5.91666666666667,5.81818181818182,6.64285714285714,6.4375,5.9,6.25,6.16666666666667,6.42307692307692,5.1,5.33333333333333,6,5.68181818181818
"#02529A",6.5,1.27272727272727,0.818181818181818,3.1875,1.66666666666667,3.35,2.04545454545455,2.81818181818182,3.9,0.222222222222222,4,3.7,5.33333333333333,2.57142857142857,4.59090909090909,2.4,4.5,2.66666666666667,3.91666666666667,1.95,2.5,5.35714285714286,3.375,4.25,3.61111111111111,5,5.57142857142857,3.85714285714286,5,3.25,6.15,4.4,4.57692307692308,4.44444444444444,2.41666666666667,4,5,6.4375,3.71428571428571,3.375,2.3125,2.72222222222222,4.95833333333333,5.4375,5.33333333333333,5,4.5,5.06666666666667,4.33333333333333,4.5,2.44444444444444,3.16666666666667,3.6875,5.44444444444444,5.31818181818182,3.35,6.33333333333333,5.58333333333333,6.25,6,4.125,6.0625,6,6.05555555555556,6.58333333333333,6,5.77777777777778,6.4,5.94444444444444,4.5,4.4,5.14285714285714,5.75,5.91666666666667,5.33333333333333,5.96428571428571,6.375,6.63636363636364,6.5,6.36666666666667,4,6,5.72222222222222,6.4,6.1,5.4,5.07692307692308,5.75,5.69230769230769,6.5,6.57142857142857,6.66666666666667,6
"#032040",3.1875,2.5,3.1875,1.11111111111111,2,3.2,3.04166666666667,0.708333333333333,2.25,3.11111111111111,3.72222222222222,1.16666666666667,4.38888888888889,1.9,2.22727272727273,2.35714285714286,1.83333333333333,4,3.95833333333333,2.6875,3,5.3125,4.13636363636364,3.72727272727273,4.5,4.40909090909091,4.81818181818182,3.09090909090909,4.1875,3.95833333333333,5.42857142857143,3.4375,4.04545454545455,4.61111111111111,3.44444444444444,4.9375,4.6875,4.85714285714286,3.9,3.5,3.64285714285714,3.33333333333333,4.9,5.72222222222222,5.07142857142857,5.14285714285714,4.67857142857143,5.55,4.45,4.5,3.5,4.5,4.28571428571429,4.95,4.41666666666667,4.6875,5.90909090909091,5.3125,4.28571428571429,5.79166666666667,5.57142857142857,6.22727272727273,6,5.35714285714286,6.0625,6.9,6.5,6,4.92857142857143,4.6,5.1,6.71428571428571,5.28571428571429,6.625,5.5,6.35714285714286,6.1875,6.41666666666667,5.90909090909091,6.35714285714286,6.5,6.16666666666667,6.5,6.5,6,6.20833333333333,6.71428571428571,6.0625,6.28571428571429,6.38888888888889,5.16666666666667,6.375,5.95
"#03406F",4.58333333333333,0.875,1.66666666666667,2,0.75,2.85714285714286,2.75,1.8125,3.4,1.95,3.64285714285714,2.55,3.8125,1.5,4.1875,1.75,4.66666666666667,3.3,2.9,2,1.66666666666667,4.75,3.1,2.16666666666667,4.5,5.33333333333333,4.5,3.16666666666667,4.16666666666667,3.14285714285714,5.17857142857143,4.55555555555556,4.5,4.81818181818182,3.1,4.625,3.35714285714286,5.125,4.1875,3.08333333333333,3.28571428571429,2.66666666666667,5.25,5.75,5.0625,5.66666666666667,5.40909090909091,5.55555555555556,5.5625,5.28571428571429,2.71428571428571,3.83333333333333,3.91666666666667,5.2,5.36363636363636,4.4,4.94444444444444,4.5,4.875,4.94444444444444,5.16666666666667,6.28571428571429,6.40909090909091,4.83333333333333,6,6.27272727272727,5.33333333333333,5.58333333333333,5.5,6.16666666666667,5,5.5625,6,5.68181818181818,6.5,5.125,4.875,6,5.77777777777778,6.5625,5.61538461538461,6.28571428571429,6.3,6.59090909090909,5.85,5.3,6.03846153846154,6.5,6.66666666666667,5.91666666666667,6.16666666666667,6.3,5.42857142857143
"#034E49",5.92857142857143,2.9,3.35,3.2,2.85714285714286,1.22222222222222,2.75,1.88888888888889,0.833333333333333,2.375,2.27272727272727,2.95454545454545,2.72222222222222,4.53571428571429,3,3.9375,4.1,4,1.69230769230769,3.72222222222222,3.2,2.14285714285714,3,3,4.25,3.375,2.94444444444444,5.16666666666667,5.14285714285714,4.22727272727273,6.25,2.83333333333333,4.1875,3.58333333333333,4.16666666666667,3.11111111111111,4.95833333333333,3.95,3.05555555555556,4.9,4.5,4.13636363636364,3.16666666666667,5.8,5.95454545454545,4.875,5.6875,3.16666666666667,3.16666666666667,3.58333333333333,4.375,4.5,4.77777777777778,6.08333333333333,5.5,5.7,5.41666666666667,5.95454545454545,4,5.25,4.07692307692308,4.61111111111111,4.75,4.75,6.14285714285714,6.33333333333333,3.71428571428571,5.66666666666667,4.71428571428571,4.25,3.45,5,3.5,6,6.5,5.73076923076923,3.57142857142857,6.05555555555556,6.33333333333333,5.89285714285714,5.85714285714286,6.5,6.08333333333333,6.9,5.95454545454545,6.2,6.44444444444444,5.61111111111111,5.7,6.5,5.77272727272727,5.8,5.75
"#086E79",5.16666666666667,2.5,2.04545454545455,3.04166666666667,2.75,2.75,0.333333333333333,3.42857142857143,3.8,2.18181818181818,5.125,4.5,2.7,3.39285714285714,3.5,3.21428571428571,5,2.75,1.875,6,3.2,4.08333333333333,3.28571428571429,3,3.83333333333333,4.36363636363636,3.71428571428571,3.75,5.64285714285714,2.78571428571429,5.92857142857143,3.8125,5.25,4.875,3.5,3.75,4.375,3,3.1,7,3.875,2.42857142857143,6,5.9,5.75,5.0625,4.92857142857143,4.91666666666667,3.6875,4.55,2.88888888888889,5.5,2.91666666666667,5.45,5.2,4.5,5.33333333333333,5.95454545454545,4.31818181818182,5.875,3.33333333333333,4.5,6.2,5.38888888888889,6.5,5.55555555555556,4.05555555555556,6,4.85714285714286,4.83333333333333,3.75,5.92857142857143,5.25,5.875,6.21428571428571,4.9,4.45,5.84615384615385,4.92857142857143,6.25,5,5.83333333333333,6.25,6.27777777777778,5.875,4.66666666666667,5.5,3.33333333333333,6.5,5.85714285714286,5.7,5.1875,6.28571428571429
"#09384C",4,2.28571428571429,2.81818181818182,0.708333333333333,1.8125,1.88888888888889,3.42857142857143,0.1,1.4375,2.42857142857143,2.30769230769231,1.64285714285714,4.3125,1.5,3.05555555555556,2,4.8125,3.1,2.9,3.1,2.2,4.8125,3.85714285714286,3.72222222222222,4.07142857142857,4.16666666666667,3.78571428571429,3,3.78571428571429,3.57142857142857,5.58333333333333,4.9,4.85,4.22222222222222,4.4375,4.875,3.21428571428571,4.16666666666667,3.08333333333333,5,3.6875,2.9375,5.15,5.90625,4.81818181818182,5.5,5,4.125,3.57142857142857,4.66666666666667,3.27272727272727,5.6875,4.05555555555556,4.91666666666667,4.8,4.4375,5.92857142857143,5.2,5.33333333333333,5.44444444444444,4.44444444444444,5.71428571428571,6,4.91666666666667,6.3,5.64285714285714,5.08333333333333,5.875,6.6,5.88888888888889,5,5.1875,5.6,5.6,5.8,5.5,5.625,4.6,5.8125,6.4,6,5.5,6.14285714285714,6.33333333333333,6.2,4.85714285714286,5.92857142857143,5.83333333333333,5.76923076923077,6.375,5.83333333333333,6.5625,6.33333333333333
"#0A3B38",3.375,4.33333333333333,3.9,2.25,3.4,0.833333333333333,3.8,1.4375,0.833333333333333,3.58333333333333,0.8125,3.03571428571429,3.07692307692308,3.625,2.33333333333333,3.85,4.28571428571429,4.66666666666667,2.28571428571429,4.25,3.61111111111111,3.83333333333333,3.85714285714286,4.35714285714286,5.5,2.25,2.9,5.125,5,3.45,5.45833333333333,3.35,5.1,4.25,3.86666666666667,3.04545454545455,5.2,4.1,2.75,4.6875,4.5,5.33333333333333,2.95,5.61111111111111,5.73076923076923,5.125,5.28571428571429,3.41666666666667,3.05,3.875,5.05,5.3,4.66666666666667,5.6,5.57142857142857,5.36363636363636,5.91666666666667,4.375,3.5,5,3.58333333333333,6.55555555555556,5,4.42857142857143,5.27777777777778,4.6,3.72727272727273,5.33333333333333,5.91666666666667,5.91666666666667,3,5.58333333333333,4,6.5,5.22222222222222,5.8,5.3,6.6,6.58333333333333,6.2,6,6.65,6,6.5,6.4375,6.41666666666667,6.07142857142857,5.85,6,6.25,6.5,5.5,6.83333333333333
"#0C4FA2",6.125,1.2,0.222222222222222,3.11111111111111,1.95,2.375,2.18181818181818,2.42857142857143,3.58333333333333,0.285714285714286,4.875,2.7,5.71428571428571,3.25,4.90909090909091,2.85714285714286,3.5625,2.83333333333333,3.94444444444444,2.07142857142857,1.33333333333333,5.35714285714286,2.75,0.5,4.5625,5.91666666666667,5,3.5,4.68181818181818,2.71428571428571,4.5,5.5,3.70833333333333,4.5,2.72727272727273,4.3,3.75,5.94444444444444,3.75,4,3.4,2.83333333333333,4.75,5.83333333333333,5.77272727272727,5.28571428571429,6.4,5.58333333333333,4.2,5.75,3,4.72222222222222,3.4,5.72222222222222,6,3.625,6.4375,5.72222222222222,5.57142857142857,5.5,5.25,6.25,5.7,5.875,6.5,6.36363636363636,4.78571428571429,6.11111111111111,5.66666666666667,5.57142857142857,5.16666666666667,5.88888888888889,5.42857142857143,5.33333333333333,5.88888888888889,6.375,6.6,5.95,5.3,6.25,6.375,5.8,6.44444444444444,5.7,5.125,6.5,5.55,5.875,6.07142857142857,6.33333333333333,6.7,5.61111111111111,6.16666666666667
